/******************************************/
PAII_C	 Acc	 F1	 Max_Acc
0.03125	0.620293	0.660451	0.620293
0.0625	0.608717	0.646396	0.620293
0.125	0.594545	0.629195	0.620293
0.25	0.58066	0.612298	0.620293
0.5	0.569231	0.598347	0.620293
1	0.561368	0.588774	0.620293
2	0.556575	0.582967	0.620293
4	0.55358	0.579373	0.620293
8	0.552191	0.577749	0.620293
16	0.551697	0.577104	0.620293
32	0.551065	0.576381	0.620293
/******************************************/
Best PAII_C:	0.03125
/******************************************/
AROW_r	 AROW_eta	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.609189	0.646507	0.609189
0.03125	0.0625	0.615594	0.671204	0.615594
0.03125	0.125	0.611495	0.662545	0.615594
0.03125	0.25	0.612019	0.64367	0.615594
0.03125	0.5	0.613604	0.666247	0.615594
0.03125	1	0.614149	0.6585	0.615594
0.03125	2	0.612331	0.659732	0.615594
0.03125	4	0.617182	0.668619	0.617182
0.03125	8	0.618426	0.661041	0.618426
0.03125	16	0.63431	0.685185	0.63431
0.03125	32	0.644317	0.697682	0.644317
0.0625	0.03125	0.618322	0.663893	0.644317
0.0625	0.0625	0.616373	0.672892	0.644317
0.0625	0.125	0.615979	0.658219	0.644317
0.0625	0.25	0.618352	0.662503	0.644317
0.0625	0.5	0.615477	0.650229	0.644317
0.0625	1	0.614559	0.656983	0.644317
0.0625	2	0.618205	0.6705	0.644317
0.0625	4	0.620622	0.663016	0.644317
0.0625	8	0.63453	0.684977	0.644317
0.0625	16	0.643707	0.696546	0.644317
0.0625	32	0.645566	0.701233	0.645566
0.125	0.03125	0.616882	0.651737	0.645566
0.125	0.0625	0.616999	0.638653	0.645566
0.125	0.125	0.61621	0.651746	0.645566
0.125	0.25	0.617956	0.680576	0.645566
0.125	0.5	0.618176	0.654314	0.645566
0.125	1	0.617946	0.660034	0.645566
0.125	2	0.619214	0.654589	0.645566
0.125	4	0.632895	0.687067	0.645566
0.125	8	0.64329	0.695757	0.645566
0.125	16	0.64562	0.700889	0.64562
0.125	32	0.645685	0.701905	0.645685
0.25	0.03125	0.621134	0.671669	0.645685
0.25	0.0625	0.620023	0.680024	0.645685
0.25	0.125	0.621594	0.667711	0.645685
0.25	0.25	0.618692	0.660717	0.645685
0.25	0.5	0.621504	0.677111	0.645685
0.25	1	0.618904	0.661458	0.645685
0.25	2	0.630702	0.677346	0.645685
0.25	4	0.64245	0.697561	0.645685
0.25	8	0.645324	0.700755	0.645685
0.25	16	0.645667	0.701622	0.645685
0.25	32	0.64558	0.701716	0.645685
0.5	0.03125	0.619675	0.651116	0.645685
0.5	0.0625	0.622663	0.669167	0.645685
0.5	0.125	0.623432	0.670744	0.645685
0.5	0.25	0.62161	0.679134	0.645685
0.5	0.5	0.623262	0.674757	0.645685
0.5	1	0.628924	0.676157	0.645685
