/******************************************/
PAII_C	 Acc	 F1	 Max_Acc
0.03125	0.77856	0.742561	0.77856
0.0625	0.77123	0.735986	0.77856
0.125	0.759708	0.725719	0.77856
0.25	0.744408	0.712185	0.77856
0.5	0.72828	0.698028	0.77856
1	0.714872	0.686297	0.77856
2	0.705653	0.678191	0.77856
4	0.700241	0.673416	0.77856
8	0.697202	0.670731	0.77856
16	0.695661	0.669378	0.77856
32	0.694779	0.668563	0.77856
/******************************************/
Best PAII_C:	0.03125
/******************************************/
AROW_r	 AROW_eta	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.771473	0.727835	0.771473
0.03125	0.0625	0.771845	0.729381	0.771845
0.03125	0.125	0.773224	0.729976	0.773224
0.03125	0.25	0.768702	0.713691	0.773224
0.03125	0.5	0.772321	0.725363	0.773224
0.03125	1	0.774874	0.728848	0.774874
0.03125	2	0.773051	0.732277	0.774874
0.03125	4	0.776675	0.732504	0.776675
0.03125	8	0.782546	0.737055	0.782546
0.03125	16	0.78687	0.746792	0.78687
0.03125	32	0.787337	0.74774	0.787337
0.0625	0.03125	0.773754	0.721561	0.787337
0.0625	0.0625	0.77468	0.736067	0.787337
0.0625	0.125	0.773861	0.728249	0.787337
0.0625	0.25	0.773786	0.72935	0.787337
0.0625	0.5	0.773997	0.724747	0.787337
0.0625	1	0.774923	0.728008	0.787337
0.0625	2	0.777141	0.734726	0.787337
0.0625	4	0.781479	0.734641	0.787337
0.0625	8	0.786323	0.744213	0.787337
0.0625	16	0.7873	0.747527	0.787337
0.0625	32	0.787349	0.74779	0.787349
0.125	0.03125	0.777653	0.736359	0.787349
0.125	0.0625	0.775077	0.730341	0.787349
0.125	0.125	0.775165	0.724782	0.787349
0.125	0.25	0.775505	0.731017	0.787349
0.125	0.5	0.777084	0.731709	0.787349
0.125	1	0.778655	0.734323	0.787349
0.125	2	0.781715	0.73431	0.787349
0.125	4	0.786698	0.745619	0.787349
0.125	8	0.787307	0.747537	0.787349
0.125	16	0.787353	0.74781	0.787353
0.125	32	0.787347	0.747791	0.787353
0.25	0.03125	0.775941	0.729541	0.787353
0.25	0.0625	0.775006	0.721536	0.787353
0.25	0.125	0.776491	0.728501	0.787353
0.25	0.25	0.777226	0.731607	0.787353
0.25	0.5	0.778974	0.73153	0.787353
0.25	1	0.782437	0.739188	0.787353
0.25	2	0.786265	0.743537	0.787353
0.25	4	0.787278	0.747346	0.787353
0.25	8	0.787348	0.747734	0.787353
0.25	16	0.787345	0.747771	0.787353
0.25	32	0.787332	0.747782	0.787353
0.5	0.03125	0.778532	0.729999	0.787353
0.5	0.0625	0.777939	0.729549	0.787353
0.5	0.125	0.776237	0.722628	0.787353
0.5	0.25	0.779426	0.730254	0.787353
0.5	0.5	0.783169	0.736072	0.787353
0.5	1	0.785609	0.740337	0.787353
0.5	2	0.787233	0.747061	0.787353
0.5	4	0.787341	0.747727	0.787353
0.5	8	0.78734	0.747775	0.787353
0.5	16	0.78733	0.747779	0.787353
0.5	32	0.787305	0.747753	0.787353
1	0.03125	0.777712	0.726711	0.787353
1	0.0625	0.779504	0.72879	0.787353
1	0.125	0.780215	0.731586	0.787353
1	0.25	0.782174	0.732224	0.787353
1	0.5	0.785797	0.741053	0.787353
1	1	0.787178	0.746752	0.787353
1	2	0.787324	0.747626	0.787353
1	4	0.787331	0.747746	0.787353
1	8	0.787333	0.747777	0.787353
1	16	0.787309	0.747753	0.787353
1	32	0.78728	0.747747	0.787353
2	0.03125	0.779769	0.728957	0.787353
2	0.0625	0.778803	0.723962	0.787353
2	0.125	0.782751	0.734796	0.787353
2	0.25	0.786088	0.742909	0.787353
2	0.5	0.787047	0.746085	0.787353
2	1	0.787306	0.747531	0.787353
2	2	0.787339	0.747765	0.787353
2	4	0.787327	0.747774	0.787353
2	8	0.787304	0.747758	0.787353
2	16	0.787271	0.747734	0.787353
2	32	0.787184	0.747674	0.787353
4	0.03125	0.779434	0.726335	0.787353
4	0.0625	0.782111	0.731166	0.787353
4	0.125	0.78493	0.737988	0.787353
4	0.25	0.786816	0.745033	0.787353
4	0.5	0.787261	0.747372	0.787353
