/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.526569	0.514078	0.526569
0.0625	0.526509	0.514093	0.526569
0.125	0.526654	0.514245	0.526654
0.25	0.526134	0.513721	0.526654
0.5	0.526492	0.5141	0.526654
1	0.526336	0.513947	0.526654
2	0.525975	0.513582	0.526654
4	0.526323	0.51393	0.526654
8	0.526539	0.514145	0.526654
16	0.526194	0.5138	0.526654
32	0.526252	0.513861	0.526654
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.512403	0.000322868	0.512403
0.0625	0.512404	0.000322169	0.512404
0.125	0.512404	0.000324639	0.512404
0.25	0.512391	0.000271009	0.512404
0.5	0.512382	0.00023749	0.512404
1	0.512392	0.000279125	0.512404
2	0.512399	0.000301351	0.512404
4	0.512413	0.000361327	0.512413
8	0.512402	0.000318641	0.512413
16	0.512402	0.000320051	0.512413
32	0.512399	0.000305938	0.512413
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.67214	0.665801	0.67214
0.03125	0.0625	0.66436	0.660964	0.67214
0.03125	0.125	0.667962	0.654508	0.67214
0.03125	0.25	0.668932	0.674009	0.67214
0.03125	0.5	0.655356	0.644082	0.67214
0.03125	1	0.665728	0.653966	0.67214
0.03125	2	0.663226	0.653318	0.67214
0.03125	4	0.664891	0.647795	0.67214
0.03125	8	0.696335	0.697705	0.696335
0.03125	16	0.74094	0.737991	0.74094
0.03125	32	0.736965	0.732968	0.74094
0.0625	0.03125	0.657899	0.660262	0.74094
0.0625	0.0625	0.664267	0.643386	0.74094
0.0625	0.125	0.676984	0.654601	0.74094
0.0625	0.25	0.680207	0.667164	0.74094
0.0625	0.5	0.670741	0.668582	0.74094
0.0625	1	0.672202	0.656258	0.74094
0.0625	2	0.67096	0.670042	0.74094
0.0625	4	0.71066	0.713219	0.74094
0.0625	8	0.728355	0.722568	0.74094
0.0625	16	0.729501	0.737056	0.74094
0.0625	32	0.757657	0.75688	0.757657
0.125	0.03125	0.655286	0.65487	0.757657
0.125	0.0625	0.658219	0.643337	0.757657
0.125	0.125	0.663642	0.670754	0.757657
0.125	0.25	0.674356	0.650229	0.757657
0.125	0.5	0.664081	0.6489	0.757657
0.125	1	0.670965	0.657064	0.757657
0.125	2	0.707938	0.694702	0.757657
0.125	4	0.724734	0.720253	0.757657
0.125	8	0.73626	0.726951	0.757657
0.125	16	0.745776	0.739398	0.757657
0.125	32	0.760286	0.76024	0.760286
0.25	0.03125	0.677813	0.672891	0.760286
0.25	0.0625	0.664496	0.657426	0.760286
0.25	0.125	0.667898	0.658949	0.760286
0.25	0.25	0.668647	0.668485	0.760286
0.25	0.5	0.671739	0.660282	0.760286
0.25	1	0.698612	0.696954	0.760286
0.25	2	0.733389	0.73773	0.760286
0.25	4	0.748479	0.749206	0.760286
0.25	8	0.761747	0.761359	0.761747
0.25	16	0.749949	0.738821	0.761747
0.25	32	0.762027	0.761474	0.762027
0.5	0.03125	0.645136	0.626417	0.762027
0.5	0.0625	0.659837	0.638882	0.762027
0.5	0.125	0.679001	0.673655	0.762027
0.5	0.25	0.668813	0.647975	0.762027
0.5	0.5	0.700764	0.685985	0.762027
0.5	1	0.743552	0.737359	0.762027
0.5	2	0.754429	0.755144	0.762027
0.5	4	0.75365	0.755699	0.762027
0.5	8	0.745198	0.74561	0.762027
0.5	16	0.76114	0.760273	0.762027
0.5	32	0.760051	0.759014	0.762027
1	0.03125	0.672592	0.66982	0.762027
1	0.0625	0.676084	0.666921	0.762027
1	0.125	0.6852	0.661044	0.762027
1	0.25	0.709871	0.698028	0.762027
1	0.5	0.745189	0.744873	0.762027
1	1	0.741822	0.7422	0.762027
1	2	0.761302	0.761495	0.762027
1	4	0.755658	0.754612	0.762027
1	8	0.755194	0.751286	0.762027
1	16	0.761489	0.760976	0.762027
1	32	0.760951	0.760463	0.762027
2	0.03125	0.661988	0.617205	0.762027
2	0.0625	0.673758	0.645746	0.762027
2	0.125	0.697045	0.685713	0.762027
2	0.25	0.736968	0.731466	0.762027
2	0.5	0.752802	0.753546	0.762027
2	1	0.759597	0.760033	0.762027
2	2	0.762005	0.761635	0.762027
2	4	0.742606	0.734448	0.762027
2	8	0.75497	0.756025	0.762027
2	16	0.757513	0.75808	0.762027
2	32	0.759725	0.758959	0.762027
4	0.03125	0.671809	0.644509	0.762027
4	0.0625	0.704865	0.692836	0.762027
4	0.125	0.738457	0.729768	0.762027
4	0.25	0.758314	0.758166	0.762027
4	0.5	0.761899	0.761853	0.762027
4	1	0.755522	0.758176	0.762027
4	2	0.752723	0.754072	0.762027
4	4	0.746854	0.745858	0.762027
4	8	0.752174	0.746768	0.762027
4	16	0.754329	0.753716	0.762027
4	32	0.746988	0.741744	0.762027
8	0.03125	0.707282	0.706252	0.762027
8	0.0625	0.73807	0.735956	0.762027
8	0.125	0.752034	0.752716	0.762027
8	0.25	0.759691	0.760268	0.762027
8	0.5	0.761847	0.76173	0.762027
8	1	0.754762	0.749384	0.762027
8	2	0.753214	0.749613	0.762027
8	4	0.75194	0.753145	0.762027
8	8	0.747449	0.748557	0.762027
8	16	0.739634	0.744058	0.762027
8	32	0.737958	0.727216	0.762027
16	0.03125	0.733545	0.734196	0.762027
16	0.0625	0.756932	0.757855	0.762027
16	0.125	0.756683	0.75577	0.762027
16	0.25	0.758465	0.759053	0.762027
16	0.5	0.761578	0.761121	0.762027
16	1	0.760679	0.760584	0.762027
16	2	0.755167	0.752581	0.762027
16	4	0.750267	0.74498	0.762027
16	8	0.757868	0.757031	0.762027
16	16	0.754016	0.752915	0.762027
16	32	0.725687	0.722228	0.762027
32	0.03125	0.754537	0.755586	0.762027
32	0.0625	0.756939	0.756688	0.762027
32	0.125	0.761445	0.761579	0.762027
32	0.25	0.761712	0.761552	0.762027
32	0.5	0.760821	0.760367	0.762027
32	1	0.760226	0.760011	0.762027
32	2	0.760109	0.759495	0.762027
32	4	0.757921	0.757063	0.762027
32	8	0.754238	0.753157	0.762027
32	16	0.748013	0.746697	0.762027
32	32	0.729425	0.728474	0.762027
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.756425	0.755312	0.756425
0.0625	0.756511	0.755531	0.756511
0.125	0.756434	0.755502	0.756511
0.25	0.756469	0.755411	0.756511
0.5	0.756326	0.755323	0.756511
1	0.756363	0.755308	0.756511
2	0.756503	0.755402	0.756511
4	0.756413	0.755357	0.756511
8	0.756542	0.755488	0.756542
16	0.756496	0.755534	0.756542
32	0.756464	0.755468	0.756542
/******************************************/

Best PAI_C: 	0.125
Best PAII_C:	4
Best AROW_r=0.25	 AROW_eta=32
Best AROWC_r=8
