/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.512401	0.677599	0.512401
0.0625	0.512401	0.677599	0.512401
0.125	0.512401	0.677599	0.512401
0.25	0.512401	0.677599	0.512401
0.5	0.512401	0.677599	0.512401
1	0.512401	0.677599	0.512401
2	0.512401	0.677599	0.512401
4	0.512401	0.677599	0.512401
8	0.512401	0.677599	0.512401
16	0.512401	0.677599	0.512401
32	0.512401	0.677599	0.512401
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.512401	0.677599	0.512401
0.0625	0.512401	0.677599	0.512401
0.125	0.512401	0.677599	0.512401
0.25	0.512401	0.677599	0.512401
0.5	0.512401	0.677599	0.512401
1	0.512401	0.677599	0.512401
2	0.512401	0.677599	0.512401
4	0.512401	0.677599	0.512401
8	0.512401	0.677599	0.512401
16	0.512401	0.677599	0.512401
32	0.512401	0.677599	0.512401
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.5124	0.677598	0.5124
0.03125	0.0625	0.5124	0.677598	0.5124
0.03125	0.125	0.512401	0.677599	0.512401
0.03125	0.25	0.512401	0.677599	0.512401
0.03125	0.5	0.512401	0.677599	0.512401
0.03125	1	0.5124	0.677599	0.512401
0.03125	2	0.512401	0.677599	0.512401
0.03125	4	0.512401	0.677599	0.512401
0.03125	8	0.512401	0.677599	0.512401
0.03125	16	0.512401	0.677599	0.512401
0.03125	32	0.512401	0.677599	0.512401
0.0625	0.03125	0.512401	0.677599	0.512401
0.0625	0.0625	0.512401	0.677599	0.512401
0.0625	0.125	0.512401	0.677599	0.512401
0.0625	0.25	0.512401	0.677599	0.512401
0.0625	0.5	0.512401	0.677599	0.512401
0.0625	1	0.512401	0.677599	0.512401
0.0625	2	0.512401	0.677599	0.512401
0.0625	4	0.512401	0.677599	0.512401
0.0625	8	0.512401	0.677599	0.512401
0.0625	16	0.512401	0.677599	0.512401
0.0625	32	0.512401	0.677599	0.512401
0.125	0.03125	0.512401	0.677599	0.512401
0.125	0.0625	0.512401	0.677599	0.512401
0.125	0.125	0.512401	0.677599	0.512401
0.125	0.25	0.512401	0.677599	0.512401
0.125	0.5	0.512401	0.677599	0.512401
0.125	1	0.512401	0.677599	0.512401
0.125	2	0.512401	0.677599	0.512401
0.125	4	0.512401	0.677599	0.512401
