/******************************************/
PAII_C	 Acc	 F1	 Max_Acc
0.03125	0.708549	0.704664	0.708549
0.0625	0.685786	0.679982	0.708549
0.125	0.662009	0.654335	0.708549
0.25	0.643091	0.634205	0.708549
0.5	0.631407	0.621806	0.708549
1	0.626008	0.616247	0.708549
2	0.623827	0.613769	0.708549
4	0.602514	0.592966	0.708549
8	0.588584	0.579793	0.708549
16	0.560972	0.470943	0.708549
32	0.550676	0.417723	0.708549
/******************************************/
Best PAII_C:	0.03125
/******************************************/
AROW_r	 AROW_eta	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.730772	0.734092	0.730772
0.03125	0.0625	0.727457	0.729223	0.730772
0.03125	0.125	0.72983	0.727427	0.730772
0.03125	0.25	0.730818	0.73401	0.730818
0.03125	0.5	0.730008	0.722877	0.730818
0.03125	1	0.726752	0.735197	0.730818
0.03125	2	0.727606	0.716375	0.730818
0.03125	4	0.729666	0.725341	0.730818
0.03125	8	0.735896	0.740667	0.735896
0.03125	16	0.754184	0.754629	0.754184
0.03125	32	0.761402	0.76159	0.761402
0.0625	0.03125	0.730461	0.726828	0.761402
