/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.990804	0	0.990804
0.0625	0.990799	0	0.990804
0.125	0.990814	0	0.990814
0.25	0.990804	0	0.990814
0.5	0.990592	0.0197974	0.990814
1	0.989099	0.102925	0.990814
2	0.986274	0.143944	0.990814
4	0.982722	0.134887	0.990814
8	0.98115	0.132733	0.990814
16	0.981164	0.136108	0.990814
32	0.981091	0.135304	0.990814
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.990763	0.00577121	0.990763
0.0625	0.990599	0.0257867	0.990763
0.125	0.989925	0.0397249	0.990763
0.25	0.988897	0.103	0.990763
0.5	0.986897	0.119414	0.990763
1	0.985182	0.1405	0.990763
2	0.983521	0.139869	0.990763
4	0.982613	0.142631	0.990763
8	0.982022	0.141718	0.990763
16	0.981635	0.140917	0.990763
32	0.981378	0.135294	0.990763
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.99006	0.00228577	0.99006
0.03125	0.0625	0.990515	0.000201207	0.990515
0.03125	0.125	0.990357	6.71592e-05	0.990515
0.03125	0.25	0.990501	0.000327402	0.990515
0.03125	0.5	0.990627	0.000137646	0.990627
0.03125	1	0.990663	0.000272681	0.990663
0.03125	2	0.990687	0.00013468	0.990687
0.03125	4	0.990688	0	0.990688
0.03125	8	0.990759	0	0.990759
0.03125	16	0.990785	0	0.990785
0.03125	32	0.990777	0	0.990785
0.0625	0.03125	0.990577	0.000126263	0.990785
0.0625	0.0625	0.990728	0.000272109	0.990785
0.0625	0.125	0.990613	0.000467017	0.990785
0.0625	0.25	0.990751	0	0.990785
0.0625	0.5	0.99068	0	0.990785
0.0625	1	0.990708	0.000268456	0.990785
0.0625	2	0.990759	0.000345543	0.990785
0.0625	4	0.990801	0	0.990801
0.0625	8	0.9908	0	0.990801
0.0625	16	0.990804	0	0.990804
0.0625	32	0.990803	0.000831601	0.990804
0.125	0.03125	0.990788	0.000137268	0.990804
0.125	0.0625	0.990769	0.000135135	0.990804
0.125	0.125	0.990792	0	0.990804
0.125	0.25	0.990784	0	0.990804
0.125	0.5	0.990772	0	0.990804
0.125	1	0.99078	0	0.990804
0.125	2	0.990809	0	0.990809
0.125	4	0.990808	0	0.990809
0.125	8	0.990803	0	0.990809
0.125	16	0.990788	0	0.990809
0.125	32	0.990723	0.00301334	0.990809
0.25	0.03125	0.990798	0	0.990809
0.25	0.0625	0.990801	0	0.990809
0.25	0.125	0.990805	0	0.990809
0.25	0.25	0.990809	0	0.990809
0.25	0.5	0.990802	0	0.990809
0.25	1	0.990775	0	0.990809
0.25	2	0.990799	0	0.990809
0.25	4	0.990806	0	0.990809
0.25	8	0.990795	0.00138485	0.990809
0.25	16	0.990754	0.00206541	0.990809
0.25	32	0.990681	0.0145678	0.990809
0.5	0.03125	0.990808	0	0.990809
0.5	0.0625	0.990807	0	0.990809
0.5	0.125	0.990793	0.000137552	0.990809
0.5	0.25	0.990809	0	0.990809
0.5	0.5	0.990802	0	0.990809
0.5	1	0.990806	0	0.990809
0.5	2	0.99081	0	0.99081
0.5	4	0.990809	0	0.99081
0.5	8	0.99077	0.00165631	0.99081
