/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.978503	0.945824	0.978503
0.0625	0.977927	0.944299	0.978503
0.125	0.97776	0.943832	0.978503
0.25	0.97765	0.94353	0.978503
0.5	0.977436	0.942976	0.978503
1	0.977318	0.942674	0.978503
2	0.977496	0.943121	0.978503
4	0.977374	0.942812	0.978503
8	0.977439	0.942974	0.978503
16	0.977466	0.943037	0.978503
32	0.977261	0.942522	0.978503
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.802999	0.000530926	0.802999
0.0625	0.803015	0.000714674	0.803015
0.125	0.803009	0.000661295	0.803015
0.25	0.803015	0.00069107	0.803015
0.5	0.80301	0.000641816	0.803015
1	0.802997	0.000535036	0.803015
2	0.803012	0.000721846	0.803015
4	0.803	0.000541205	0.803015
8	0.803018	0.000768023	0.803018
16	0.803009	0.000656178	0.803018
32	0.802999	0.000522725	0.803018
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.833311	0.630137	0.833311
0.03125	0.0625	0.898823	0.724028	0.898823
0.03125	0.125	0.862247	0.694622	0.898823
0.03125	0.25	0.838089	0.605279	0.898823
0.03125	0.5	0.870349	0.708757	0.898823
0.03125	1	0.875471	0.660057	0.898823
0.03125	2	0.844641	0.611581	0.898823
0.03125	4	0.817167	0.533732	0.898823
0.03125	8	0.822593	0.530709	0.898823
0.03125	16	0.839906	0.608259	0.898823
0.03125	32	0.95817	0.887338	0.95817
0.0625	0.03125	0.865796	0.617753	0.95817
0.0625	0.0625	0.820213	0.622016	0.95817
0.0625	0.125	0.851936	0.6233	0.95817
0.0625	0.25	0.852894	0.638727	0.95817
0.0625	0.5	0.824468	0.601446	0.95817
0.0625	1	0.823992	0.573619	0.95817
0.0625	2	0.787205	0.561378	0.95817
0.0625	4	0.801899	0.506555	0.95817
0.0625	8	0.906702	0.798557	0.95817
0.0625	16	0.86673	0.692217	0.95817
0.0625	32	0.94161	0.855848	0.95817
0.125	0.03125	0.830926	0.610173	0.95817
0.125	0.0625	0.848996	0.655653	0.95817
0.125	0.125	0.815541	0.555523	0.95817
0.125	0.25	0.779898	0.526692	0.95817
0.125	0.5	0.839469	0.687399	0.95817
0.125	1	0.848257	0.652652	0.95817
0.125	2	0.824808	0.636417	0.95817
0.125	4	0.927121	0.75958	0.95817
0.125	8	0.773657	0.547544	0.95817
0.125	16	0.907278	0.843337	0.95817
0.125	32	0.928018	0.902885	0.95817
0.25	0.03125	0.848626	0.656892	0.95817
0.25	0.0625	0.820148	0.530564	0.95817
0.25	0.125	0.851182	0.64044	0.95817
0.25	0.25	0.888259	0.688677	0.95817
0.25	0.5	0.818655	0.6118	0.95817
0.25	1	0.798174	0.569352	0.95817
0.25	2	0.861143	0.724185	0.95817
0.25	4	0.866992	0.6516	0.95817
0.25	8	0.979559	0.946217	0.979559
0.25	16	0.942864	0.864275	0.979559
0.25	32	0.866593	0.7894	0.979559
0.5	0.03125	0.787986	0.496986	0.979559
0.5	0.0625	0.833398	0.61035	0.979559
0.5	0.125	0.846271	0.59779	0.979559
0.5	0.25	0.861934	0.60687	0.979559
0.5	0.5	0.856159	0.657913	0.979559
0.5	1	0.788877	0.638831	0.979559
0.5	2	0.866892	0.69739	0.979559
0.5	4	0.920207	0.811855	0.979559
0.5	8	0.969479	0.906952	0.979559
0.5	16	0.903549	0.763667	0.979559
0.5	32	0.978132	0.941572	0.979559
1	0.03125	0.803855	0.557418	0.979559
1	0.0625	0.860785	0.61544	0.979559
1	0.125	0.783632	0.525299	0.979559
1	0.25	0.850959	0.667722	0.979559
1	0.5	0.857211	0.727199	0.979559
1	1	0.838165	0.730208	0.979559
1	2	0.952606	0.881603	0.979559
1	4	0.946198	0.859241	0.979559
1	8	0.875909	0.759523	0.979559
1	16	0.957849	0.879647	0.979559
1	32	0.822085	0.729498	0.979559
2	0.03125	0.905583	0.768887	0.979559
2	0.0625	0.824977	0.527746	0.979559
2	0.125	0.91004	0.756385	0.979559
2	0.25	0.935906	0.791522	0.979559
2	0.5	0.980702	0.942845	0.980702
2	1	0.978895	0.94492	0.980702
2	2	0.955674	0.904967	0.980702
2	4	0.976201	0.945707	0.980702
2	8	0.916228	0.874252	0.980702
2	16	0.84996	0.781669	0.980702
2	32	0.940009	0.836691	0.980702
4	0.03125	0.855756	0.732262	0.980702
4	0.0625	0.898374	0.684118	0.980702
4	0.125	0.878445	0.692145	0.980702
4	0.25	0.969719	0.92394	0.980702
4	0.5	0.888954	0.787043	0.980702
4	1	0.979213	0.935929	0.980702
4	2	0.961834	0.888997	0.980702
4	4	0.940668	0.880726	0.980702
4	8	0.970248	0.919449	0.980702
4	16	0.9798	0.947176	0.980702
4	32	0.974503	0.926961	0.980702
8	0.03125	0.933092	0.815511	0.980702
8	0.0625	0.97428	0.929104	0.980702
8	0.125	0.850183	0.755676	0.980702
8	0.25	0.971269	0.919647	0.980702
8	0.5	0.971715	0.914373	0.980702
8	1	0.935452	0.8557	0.980702
8	2	0.959955	0.887103	0.980702
8	4	0.971479	0.922081	0.980702
8	8	0.983559	0.95747	0.983559
8	16	0.986352	0.965228	0.986352
8	32	0.98219	0.95331	0.986352
16	0.03125	0.87989	0.799389	0.986352
16	0.0625	0.987215	0.967359	0.987215
16	0.125	0.979726	0.939146	0.987215
16	0.25	0.981246	0.951703	0.987215
16	0.5	0.978573	0.942309	0.987215
16	1	0.923525	0.893955	0.987215
16	2	0.940127	0.865403	0.987215
16	4	0.906723	0.869709	0.987215
16	8	0.908322	0.844673	0.987215
16	16	0.962346	0.890264	0.987215
16	32	0.924583	0.893452	0.987215
32	0.03125	0.947512	0.825868	0.987215
32	0.0625	0.982563	0.953581	0.987215
32	0.125	0.962462	0.888689	0.987215
32	0.25	0.983509	0.955936	0.987215
32	0.5	0.963211	0.906361	0.987215
32	1	0.974517	0.940627	0.987215
32	2	0.977179	0.94047	0.987215
32	4	0.985086	0.962048	0.987215
32	8	0.969913	0.909976	0.987215
32	16	0.990918	0.977073	0.990918
32	32	0.981185	0.950901	0.990918
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.99353	0.98374	0.99353
0.0625	0.994097	0.985145	0.994097
0.125	0.994283	0.985605	0.994283
0.25	0.993298	0.983166	0.994283
0.5	0.994006	0.984918	0.994283
1	0.993847	0.984523	0.994283
2	0.99383	0.98448	0.994283
4	0.993711	0.984183	0.994283
8	0.994573	0.986323	0.994573
16	0.994455	0.986032	0.994573
32	0.993541	0.983763	0.994573
/******************************************/

Best PAI_C: 	0.03125
Best PAII_C:	8
Best AROW_r=32	 AROW_eta=16
Best AROWC_r=8
