/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.97291	0.489546	0.97291
0.0625	0.97155	0.523849	0.97291
0.125	0.969425	0.531949	0.97291
0.25	0.9667	0.518786	0.97291
0.5	0.96355	0.489853	0.97291
1	0.9653	0.523352	0.97291
2	0.96365	0.507119	0.97291
4	0.96355	0.508429	0.97291
8	0.96045	0.468056	0.97291
16	0.96345	0.508406	0.97291
32	0.96155	0.483546	0.97291
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.956788	0.0159408	0.956788
0.0625	0.95725	0.0138408	0.95725
0.125	0.95755	0.0139373	0.95755
0.25	0.9577	0.013986	0.9577
0.5	0.95775	0.0140023	0.95775
1	0.9578	0.0140187	0.9578
2	0.9578	0.0140187	0.9578
4	0.9578	0.0140187	0.9578
8	0.95774	0.00983283	0.9578
16	0.9577	0.00704225	0.9578
32	0.9577	0.00704225	0.9578
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.954688	0.00320513	0.954688
0.03125	0.0625	0.958213	0	0.958213
0.03125	0.125	0.95786	0.00147059	0.958213
0.03125	0.25	0.957195	0.0249222	0.958213
0.03125	0.5	0.950877	0.0485983	0.958213
0.03125	1	0.9515	0.0623368	0.958213
0.03125	2	0.95836	0.112162	0.95836
0.03125	4	0.9631	0	0.9631
0.03125	8	0.963875	0.0384715	0.963875
0.03125	16	0.9723	0.420502	0.9723
0.03125	32	0.9802	0.678049	0.9802
0.0625	0.03125	0.96075	0.246502	0.9802
0.0625	0.0625	0.95621	0.0657534	0.9802
0.0625	0.125	0.94934	0.0592593	0.9802
0.0625	0.25	0.9486	0.0926404	0.9802
0.0625	0.5	0.96023	0.146041	0.9802
0.0625	1	0.96348	0.20973	0.9802
0.0625	2	0.963	0	0.9802
0.0625	4	0.963225	0.00135501	0.9802
0.0625	8	0.96945	0.292005	0.9802
0.0625	16	0.9751	0.506931	0.9802
0.0625	32	0.9764	0.565378	0.9802
0.125	0.03125	0.96305	0.0405928	0.9802
0.125	0.0625	0.962442	0	0.9802
0.125	0.125	0.961262	0.0210526	0.9802
0.125	0.25	0.961367	0.0172249	0.9802
0.125	0.5	0.96012	0.0189873	0.9802
0.125	1	0.961975	0.0184852	0.9802
0.125	2	0.9632	0	0.9802
0.125	4	0.96335	0.0107962	0.9802
0.125	8	0.97405	0.507123	0.9802
0.125	16	0.97545	0.55485	0.9802
0.125	32	0.98025	0.686259	0.98025
0.25	0.03125	0.95212	0.165947	0.98025
0.25	0.0625	0.95747	0.0184385	0.98025
0.25	0.125	0.960675	0.235005	0.98025
0.25	0.25	0.95708	0.025831	0.98025
0.25	0.5	0.962718	0	0.98025
0.25	1	0.96305	0	0.98025
0.25	2	0.96915	0.283391	0.98025
0.25	4	0.977038	0.565805	0.98025
0.25	8	0.9817	0.711356	0.9817
0.25	16	0.9813	0.71319	0.9817
0.25	32	0.9811	0.714502	0.9817
0.5	0.03125	0.96136	0.00147453	0.9817
0.5	0.0625	0.9605	0.00233161	0.9817
0.5	0.125	0.961623	0.088383	0.9817
0.5	0.25	0.96415	0.18244	0.9817
0.5	0.5	0.96792	0.231064	0.9817
0.5	1	0.9689	0.269953	0.9817
0.5	2	0.9761	0.542146	0.9817
0.5	4	0.98105	0.696557	0.9817
0.5	8	0.9828	0.738998	0.9828
0.5	16	0.9815	0.724292	0.9828
0.5	32	0.980375	0.711981	0.9828
1	0.03125	0.96325	0	0.9828
1	0.0625	0.96439	0.0939163	0.9828
1	0.125	0.962912	0.00288714	0.9828
