/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.954964	0.762991	0.954964
0.0625	0.95089	0.747715	0.954964
0.125	0.948932	0.740271	0.954964
0.25	0.94395	0.718499	0.954964
0.5	0.945374	0.727111	0.954964
1	0.945196	0.726465	0.954964
2	0.941281	0.707965	0.954964
4	0.940391	0.704325	0.954964
8	0.940747	0.706608	0.954964
16	0.940747	0.706608	0.954964
32	0.939146	0.698413	0.954964
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.88363	0.0353982	0.88363
0.0625	0.884164	0.0355556	0.884164
0.125	0.884466	0.0339181	0.884466
0.25	0.884342	0.0269461	0.884466
0.5	0.884342	0.0269461	0.884466
1	0.88452	0.0269865	0.88452
2	0.88452	0.0269865	0.88452
4	0.88452	0.0269865	0.88452
8	0.88452	0.0269865	0.88452
16	0.88452	0.0269865	0.88452
32	0.88452	0.0269865	0.88452
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.861735	0.382339	0.861735
0.03125	0.0625	0.88024	0.38049	0.88024
0.03125	0.125	0.881335	0.307503	0.881335
0.03125	0.25	0.893674	0.33944	0.893674
0.03125	0.5	0.902402	0.513234	0.902402
0.03125	1	0.903123	0.432023	0.903123
0.03125	2	0.896957	0.403161	0.903123
0.03125	4	0.899849	0.440291	0.903123
0.03125	8	0.916326	0.424356	0.916326
0.03125	16	0.93161	0.569135	0.93161
0.03125	32	0.952491	0.746439	0.952491
0.0625	0.03125	0.915231	0.476486	0.952491
0.0625	0.0625	0.893256	0.430787	0.952491
0.0625	0.125	0.899039	0.452743	0.952491
0.0625	0.25	0.878968	0.393725	0.952491
0.0625	0.5	0.887802	0.366116	0.952491
0.0625	1	0.882758	0.364966	0.952491
0.0625	2	0.912794	0.491388	0.952491
0.0625	4	0.905338	0.341594	0.952491
0.0625	8	0.950712	0.726555	0.952491
0.0625	16	0.952669	0.770294	0.952669
0.0625	32	0.96032	0.811496	0.96032
0.125	0.03125	0.896521	0.425248	0.96032
0.125	0.0625	0.892162	0.325742	0.96032
0.125	0.125	0.890285	0.459645	0.96032
0.125	0.25	0.89516	0.486509	0.96032
0.125	0.5	0.897802	0.325943	0.96032
0.125	1	0.886237	0.492857	0.96032
0.125	2	0.938932	0.606307	0.96032
0.125	4	0.947117	0.682623	0.96032
0.125	8	0.952135	0.755232	0.96032
0.125	16	0.960498	0.807109	0.960498
0.125	32	0.956584	0.790378	0.960498
0.25	0.03125	0.893986	0.306838	0.960498
0.25	0.0625	0.887135	0.270205	0.960498
0.25	0.125	0.898479	0.413502	0.960498
0.25	0.25	0.903434	0.483415	0.960498
0.25	0.5	0.908701	0.510472	0.960498
0.25	1	0.901744	0.0591866	0.960498
0.25	2	0.940587	0.668376	0.960498
0.25	4	0.959253	0.792007	0.960498
0.25	8	0.953532	0.773819	0.960498
0.25	16	0.950356	0.768848	0.960498
0.25	32	0.95516	0.780488	0.960498
0.5	0.03125	0.893692	0.241124	0.960498
0.5	0.0625	0.908674	0.461194	0.960498
0.5	0.125	0.910214	0.477495	0.960498
0.5	0.25	0.914413	0.427564	0.960498
0.5	0.5	0.916637	0.346852	0.960498
0.5	1	0.931851	0.516281	0.960498
0.5	2	0.952491	0.747875	0.960498
0.5	4	0.953719	0.783601	0.960498
0.5	8	0.956762	0.793191	0.960498
0.5	16	0.95089	0.768067	0.960498
0.5	32	0.948221	0.755668	0.960498
1	0.03125	0.910676	0.42446	0.960498
1	0.0625	0.914724	0.489475	0.960498
1	0.125	0.912135	0.46288	0.960498
1	0.25	0.931495	0.548633	0.960498
1	0.5	0.946441	0.685475	0.960498
1	1	0.963452	0.813925	0.963452
1	2	0.96032	0.806592	0.963452
1	4	0.954626	0.783347	0.963452
1	8	0.956299	0.790567	0.963452
1	16	0.953025	0.775891	0.963452
1	32	0.951779	0.772077	0.963452
2	0.03125	0.901957	0.436807	0.963452
2	0.0625	0.920605	0.374558	0.963452
2	0.125	0.948986	0.697307	0.963452
2	0.25	0.957651	0.775895	0.963452
2	0.5	0.962153	0.801464	0.963452
2	1	0.959253	0.798946	0.963452
2	2	0.952669	0.77069	0.963452
2	4	0.961014	0.811095	0.963452
2	8	0.957117	0.790252	0.963452
