/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.746286	0.453016	0.746286
0.0625	0.738772	0.43948	0.746286
0.125	0.754468	0.473684	0.754468
0.25	0.756643	0.479388	0.756643
0.5	0.757576	0.482759	0.757576
1	0.737374	0.439283	0.757576
2	0.777312	0.525025	0.777312
4	0.770319	0.510272	0.777312
8	0.742191	0.450116	0.777312
16	0.770163	0.510103	0.777312
32	0.738928	0.442971	0.777312
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.760373	0.0326223	0.760373
0.0625	0.760528	0.0326428	0.760528
0.125	0.760528	0.0326428	0.760528
0.25	0.760528	0.0326428	0.760528
0.5	0.760528	0.0326428	0.760528
1	0.760528	0.0326428	0.760528
2	0.760528	0.0326428	0.760528
4	0.760528	0.0326428	0.760528
8	0.760528	0.0326428	0.760528
16	0.760528	0.0326428	0.760528
32	0.760528	0.0326428	0.760528
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.673427	0.363666	0.673427
0.03125	0.0625	0.717607	0.466154	0.717607
0.03125	0.125	0.733271	0.404692	0.733271
0.03125	0.25	0.779169	0.500567	0.779169
0.03125	0.5	0.768625	0.450375	0.779169
0.03125	1	0.771049	0.401899	0.779169
0.03125	2	0.772106	0.309104	0.779169
0.03125	4	0.773955	0.436715	0.779169
0.03125	8	0.734328	0.40399	0.779169
0.03125	16	0.769425	0.470507	0.779169
0.03125	32	0.751204	0.464011	0.779169
0.0625	0.03125	0.748936	0.424486	0.779169
0.0625	0.0625	0.768687	0.346121	0.779169
0.0625	0.125	0.751888	0.303327	0.779169
0.0625	0.25	0.699775	0.447676	0.779169
0.0625	0.5	0.77007	0.387865	0.779169
0.0625	1	0.777382	0.359821	0.779169
0.0625	2	0.786853	0.453367	0.786853
0.0625	4	0.763225	0.383763	0.786853
0.0625	8	0.778462	0.445045	0.786853
0.0625	16	0.817405	0.577186	0.817405
0.0625	32	0.851414	0.6606	0.851414
0.125	0.03125	0.761336	0.322156	0.851414
0.125	0.0625	0.679347	0.203345	0.851414
0.125	0.125	0.732549	0.390093	0.851414
0.125	0.25	0.753768	0.452215	0.851414
0.125	0.5	0.722828	0.461761	0.851414
0.125	1	0.755338	0.343531	0.851414
0.125	2	0.771064	0.491477	0.851414
0.125	4	0.776014	0.388222	0.851414
0.125	8	0.791841	0.528699	0.851414
