/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.65714	0.517594	0.65714
0.0625	0.65464	0.530576	0.65714
0.125	0.637253	0.520264	0.65714
0.25	0.627472	0.517455	0.65714
0.5	0.636601	0.534521	0.65714
1	0.615953	0.512013	0.65714
2	0.627038	0.526751	0.65714
4	0.635949	0.538949	0.65714
8	0.630298	0.532564	0.65714
16	0.640948	0.545904	0.65714
32	0.624647	0.5262	0.65714
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.601391	0.0680894	0.601391
0.0625	0.600522	0.0622449	0.601391
0.125	0.600522	0.0593654	0.601391
0.25	0.600522	0.0593654	0.601391
0.5	0.600739	0.0593958	0.601391
1	0.600739	0.0593958	0.601391
2	0.600956	0.0594262	0.601391
4	0.600956	0.0594262	0.601391
8	0.600956	0.0594262	0.601391
16	0.600956	0.0594262	0.601391
32	0.600956	0.0594262	0.601391
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.597696	0.132168	0.597696
0.03125	0.0625	0.641937	0.387542	0.641937
0.03125	0.125	0.714084	0.650293	0.714084
0.03125	0.25	0.770745	0.720666	0.770745
0.03125	0.5	0.673506	0.639742	0.770745
0.03125	1	0.703586	0.534852	0.770745
0.03125	2	0.753521	0.684888	0.770745
0.03125	4	0.734471	0.63695	0.770745
0.03125	8	0.730537	0.569761	0.770745
0.03125	16	0.692676	0.512077	0.770745
0.03125	32	0.5921	0.262149	0.770745
0.0625	0.03125	0.599261	0.206294	0.770745
0.0625	0.0625	0.767072	0.688101	0.770745
0.0625	0.125	0.722528	0.562503	0.770745
0.0625	0.25	0.766029	0.680049	0.770745
0.0625	0.5	0.710867	0.462798	0.770745
0.0625	1	0.593784	0.115376	0.770745
0.0625	2	0.643773	0.348919	0.770745
0.0625	4	0.715442	0.521623	0.770745
0.0625	8	0.790654	0.738216	0.790654
0.0625	16	0.818518	0.774263	0.818518
0.0625	32	0.765421	0.693349	0.818518
0.125	0.03125	0.723864	0.612462	0.818518
0.125	0.0625	0.636699	0.329037	0.818518
0.125	0.125	0.677624	0.454711	0.818518
0.125	0.25	0.680417	0.364238	0.818518
0.125	0.5	0.847012	0.807059	0.847012
0.125	1	0.820648	0.769846	0.847012
0.125	2	0.718757	0.536865	0.847012
0.125	4	0.75201	0.678318	0.847012
0.125	8	0.70702	0.626386	0.847012
0.125	16	0.757107	0.66233	0.847012
0.125	32	0.731145	0.640929	0.847012
0.25	0.03125	0.794219	0.690621	0.847012
0.25	0.0625	0.694914	0.473627	0.847012
0.25	0.125	0.73973	0.572938	0.847012
0.25	0.25	0.632526	0.264559	0.847012
0.25	0.5	0.760672	0.730328	0.847012
0.25	1	0.793632	0.730439	0.847012
0.25	2	0.7505	0.66592	0.847012
0.25	4	0.677896	0.614062	0.847012
0.25	8	0.715823	0.63641	0.847012
0.25	16	0.867203	0.83274	0.867203
0.25	32	0.83221	0.799168	0.867203
0.5	0.03125	0.726342	0.655803	0.867203
0.5	0.0625	0.712236	0.44154	0.867203
0.5	0.125	0.700413	0.482255	0.867203
0.5	0.25	0.704792	0.521244	0.867203
0.5	0.5	0.809172	0.775448	0.867203
0.5	1	0.664855	0.362283	0.867203
0.5	2	0.690383	0.587464	0.867203
0.5	4	0.70789	0.684655	0.867203
0.5	8	0.807759	0.760232	0.867203
0.5	16	0.883721	0.853865	0.883721
0.5	32	0.88546	0.856129	0.88546
1	0.03125	0.703108	0.464689	0.88546
1	0.0625	0.681808	0.392425	0.88546
1	0.125	0.715497	0.634112	0.88546
1	0.25	0.773973	0.733661	0.88546
1	0.5	0.805651	0.716155	0.88546
1	1	0.722017	0.535416	0.88546
1	2	0.767931	0.689681	0.88546
1	4	0.806781	0.759924	0.88546
1	8	0.808313	0.761882	0.88546
1	16	0.892197	0.861375	0.892197
1	32	0.866551	0.838421	0.892197
2	0.03125	0.685405	0.392478	0.892197
2	0.0625	0.722799	0.624314	0.892197
2	0.125	0.649913	0.299916	0.892197
2	0.25	0.80852	0.704289	0.892197
2	0.5	0.873506	0.835314	0.892197
2	1	0.723973	0.547398	0.892197
2	2	0.709476	0.596489	0.892197
2	4	0.697022	0.685611	0.892197
2	8	0.683112	0.676431	0.892197
2	16	0.70376	0.58126	0.892197
2	32	0.70702	0.603296	0.892197
4	0.03125	0.796544	0.693789	0.892197
4	0.0625	0.805042	0.698863	0.892197
4	0.125	0.698	0.447869	0.892197
4	0.25	0.769833	0.692062	0.892197
4	0.5	0.808216	0.742045	0.892197
4	1	0.894371	0.865746	0.894371
4	2	0.890241	0.860843	0.894371
4	4	0.887416	0.856351	0.894371
4	8	0.81591	0.752208	0.894371
4	16	0.76027	0.670648	0.894371
4	32	0.759183	0.669254	0.894371
8	0.03125	0.702021	0.44711	0.894371
8	0.0625	0.638926	0.246611	0.894371
8	0.125	0.700587	0.526762	0.894371
8	0.25	0.7218	0.609041	0.894371
8	0.5	0.769159	0.677863	0.894371
