/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.75916	0	0.75916
0.0001	0.75916	0	0.75916
0.001	0.75916	0	0.75916
0.01	0.809296	0.424186	0.809296
0.1	0.840054	0.622773	0.840054
1	0.819754	0.609488	0.840054
10	0.79014	0.563252	0.840054
100	0.790209	0.563319	0.840054
1000	0.790209	0.563319	0.840054
10000	0.790013	0.56282	0.840054
100000	0.789963	0.562696	0.840054
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.75916	0	0.75916
0.0001	0.759131	0	0.75916
0.001	0.808083	0.427065	0.808083
0.01	0.838442	0.611645	0.838442
0.1	0.835509	0.629599	0.838442
1	0.808329	0.592491	0.838442
10	0.794086	0.570323	0.838442
100	0.792482	0.56805	0.838442
1000	0.792113	0.567448	0.838442
10000	0.788824	0.561085	0.838442
100000	0.788459	0.560378	0.838442
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.775007	0.494315	0.775007
1e-005	0.0001	0.779334	0.497699	0.779334
1e-005	0.001	0.781241	0.469399	0.781241
1e-005	0.01	0.772426	0.482406	0.781241
1e-005	0.1	0.786633	0.497512	0.786633
1e-005	1	0.780859	0.478796	0.786633
1e-005	10	0.780358	0.475698	0.786633
1e-005	100	0.784185	0.486827	0.786633
1e-005	1000	0.790636	0.515027	0.790636
1e-005	10000	0.787196	0.517015	0.790636
1e-005	100000	0.837328	0.62308	0.837328
0.0001	1e-005	0.794509	0.503622	0.837328
0.0001	0.0001	0.796548	0.50679	0.837328
0.0001	0.001	0.797537	0.513424	0.837328
0.0001	0.01	0.791669	0.520195	0.837328
0.0001	0.1	0.799088	0.527254	0.837328
0.0001	1	0.79867	0.523975	0.837328
0.0001	10	0.793337	0.502939	0.837328
0.0001	100	0.789917	0.523288	0.837328
0.0001	1000	0.79883	0.542585	0.837328
0.0001	10000	0.838649	0.622601	0.838649
0.0001	100000	0.836094	0.633575	0.838649
0.001	1e-005	0.810295	0.533478	0.838649
0.001	0.0001	0.806901	0.535708	0.838649
0.001	0.001	0.810542	0.540503	0.838649
0.001	0.01	0.80638	0.521679	0.838649
0.001	0.1	0.806119	0.532259	0.838649
0.001	1	0.807899	0.511788	0.838649
0.001	10	0.809915	0.537336	0.838649
0.001	100	0.805465	0.531669	0.838649
0.001	1000	0.841416	0.634489	0.841416
0.001	10000	0.837726	0.636279	0.841416
0.001	100000	0.815488	0.603658	0.841416
0.01	1e-005	0.821607	0.549872	0.841416
0.01	0.0001	0.820432	0.537674	0.841416
0.01	0.001	0.819712	0.543023	0.841416
0.01	0.01	0.820396	0.550782	0.841416
0.01	0.1	0.820936	0.541247	0.841416
0.01	1	0.815161	0.498497	0.841416
0.01	10	0.81468	0.510463	0.841416
0.01	100	0.842615	0.635969	0.842615
0.01	1000	0.839173	0.639974	0.842615
0.01	10000	0.81792	0.608088	0.842615
0.01	100000	0.798954	0.580233	0.842615
0.1	1e-005	0.823212	0.499532	0.842615
0.1	0.0001	0.827284	0.532876	0.842615
0.1	0.001	0.826469	0.543993	0.842615
0.1	0.01	0.826883	0.538836	0.842615
0.1	0.1	0.819867	0.479034	0.842615
0.1	1	0.821845	0.496943	0.842615
0.1	10	0.84393	0.633282	0.84393
0.1	100	0.840705	0.641352	0.84393
0.1	1000	0.816386	0.604057	0.84393
0.1	10000	0.79984	0.582226	0.84393
0.1	100000	0.796763	0.577719	0.84393
1	1e-005	0.820108	0.464337	0.84393
1	0.0001	0.828494	0.522038	0.84393
1	0.001	0.828084	0.523592	0.84393
1	0.01	0.826679	0.508067	0.84393
1	0.1	0.82374	0.487273	0.84393
1	1	0.8433	0.620012	0.84393
1	10	0.841559	0.642937	0.84393
1	100	0.819367	0.608384	0.84393
1	1000	0.799334	0.580642	0.84393
1	10000	0.795048	0.574223	0.84393
1	100000	0.794381	0.573001	0.84393
10	1e-005	0.810675	0.399474	0.84393
10	0.0001	0.810658	0.399334	0.84393
10	0.001	0.809375	0.38974	0.84393
10	0.01	0.806337	0.368072	0.84393
10	0.1	0.8255	0.498236	0.84393
10	1	0.844126	0.643668	0.844126
10	10	0.826074	0.617833	0.844126
10	100	0.798099	0.575917	0.844126
10	1000	0.794097	0.572185	0.844126
10	10000	0.793772	0.571724	0.844126
10	100000	0.793302	0.570892	0.844126
100	1e-005	0.779032	0.166605	0.844126
100	0.0001	0.779726	0.172422	0.844126
100	0.001	0.779835	0.172689	0.844126
100	0.01	0.780236	0.173138	0.844126
100	0.1	0.839504	0.614005	0.844126
100	1	0.838899	0.636347	0.844126
100	10	0.809656	0.594021	0.844126
100	100	0.794985	0.572789	0.844126
100	1000	0.792204	0.568369	0.844126
100	10000	0.791513	0.567166	0.844126
100	100000	0.792169	0.568529	0.844126
1000	1e-005	0.759355	0.00184696	0.844126
1000	0.0001	0.759339	0.00165589	0.844126
1000	0.001	0.759186	0.000458687	0.844126
1000	0.01	0.805296	0.385097	0.844126
1000	0.1	0.839957	0.619864	0.844126
1000	1	0.831117	0.623773	0.844126
1000	10	0.801457	0.580964	0.844126
1000	100	0.793644	0.570766	0.844126
1000	1000	0.791993	0.56813	0.844126
1000	10000	0.790298	0.564637	0.844126
1000	100000	0.792205	0.568616	0.844126
10000	1e-005	0.759167	0.00021657	0.844126
10000	0.0001	0.759161	0.000101995	0.844126
10000	0.001	0.759154	2.54907e-005	0.844126
10000	0.01	0.809769	0.425108	0.844126
10000	0.1	0.839408	0.617815	0.844126
10000	1	0.826235	0.615815	0.844126
10000	10	0.798392	0.576817	0.844126
10000	100	0.791742	0.567049	0.844126
10000	1000	0.790479	0.5649	0.844126
10000	10000	0.790544	0.565136	0.844126
10000	100000	0.790338	0.564756	0.844126
100000	1e-005	0.759164	6.37495e-005	0.844126
100000	0.0001	0.759151	0.000114703	0.844126
100000	0.001	0.759166	0.000127453	0.844126
100000	0.01	0.810213	0.42837	0.844126
100000	0.1	0.839087	0.618757	0.844126
100000	1	0.824278	0.614081	0.844126
100000	10	0.798039	0.575375	0.844126
