/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.501219	0.0657382	0.501219
0.0001	0.500231	0.0471571	0.501219
0.001	0.505139	0.145457	0.505139
0.01	0.539413	0.507163	0.539413
0.1	0.569934	0.560901	0.569934
1	0.554347	0.554032	0.569934
10	0.537593	0.537284	0.569934
100	0.53844	0.538515	0.569934
1000	0.539253	0.53878	0.569934
10000	0.537426	0.537227	0.569934
100000	0.538005	0.537788	0.569934
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.510188	0.297039	0.510188
0.0001	0.524056	0.504275	0.524056
0.001	0.541874	0.532999	0.541874
0.01	0.56879	0.562466	0.56879
0.1	0.563557	0.561769	0.56879
1	0.545493	0.545469	0.56879
10	0.540088	0.539762	0.56879
100	0.538872	0.538965	0.56879
1000	0.539896	0.53982	0.56879
10000	0.539988	0.540076	0.56879
100000	0.537278	0.537543	0.56879
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.521153	0.51099	0.521153
1e-005	0.0001	0.521515	0.487665	0.521515
1e-005	0.001	0.522254	0.525992	0.522254
1e-005	0.01	0.523856	0.509965	0.523856
1e-005	0.1	0.519676	0.539544	0.523856
1e-005	1	0.525226	0.550068	0.525226
1e-005	10	0.525007	0.5033	0.525226
1e-005	100	0.521481	0.528285	0.525226
1e-005	1000	0.523844	0.508438	0.525226
1e-005	10000	0.522544	0.504681	0.525226
1e-005	100000	0.549036	0.549101	0.549036
0.0001	1e-005	0.523913	0.532687	0.549036
0.0001	0.0001	0.527534	0.54931	0.549036
0.0001	0.001	0.525356	0.52014	0.549036
0.0001	0.01	0.526539	0.512985	0.549036
0.0001	0.1	0.524976	0.509133	0.549036
0.0001	1	0.527557	0.513621	0.549036
0.0001	10	0.526062	0.507261	0.549036
0.0001	100	0.529563	0.507772	0.549036
0.0001	1000	0.52861	0.522928	0.549036
0.0001	10000	0.557518	0.55083	0.557518
0.0001	100000	0.594705	0.597542	0.594705
0.001	1e-005	0.534983	0.553018	0.594705
0.001	0.0001	0.528086	0.518341	0.594705
0.001	0.001	0.533821	0.535682	0.594705
0.001	0.01	0.532585	0.472033	0.594705
0.001	0.1	0.532091	0.488211	0.594705
0.001	1	0.532648	0.488945	0.594705
0.001	10	0.532024	0.479173	0.594705
0.001	100	0.531552	0.493039	0.594705
0.001	1000	0.565167	0.562732	0.594705
0.001	10000	0.604023	0.605549	0.604023
0.001	100000	0.587672	0.58763	0.604023
0.01	1e-005	0.536128	0.492142	0.604023
0.01	0.0001	0.54066	0.509506	0.604023
0.01	0.001	0.537605	0.53917	0.604023
0.01	0.01	0.538793	0.479894	0.604023
0.01	0.1	0.535843	0.451126	0.604023
0.01	1	0.539294	0.551353	0.604023
0.01	10	0.53595	0.467646	0.604023
0.01	100	0.569373	0.554151	0.604023
0.01	1000	0.605113	0.606671	0.605113
0.01	10000	0.588544	0.588885	0.605113
0.01	100000	0.557703	0.557461	0.605113
