/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.565474	0.72243	0.565474
0.0001	0.59719	0.69215	0.59719
0.001	0.644949	0.703178	0.644949
0.01	0.668364	0.725044	0.668364
0.1	0.695606	0.739693	0.695606
1	0.671287	0.71394	0.695606
10	0.625164	0.668778	0.695606
100	0.625751	0.669235	0.695606
1000	0.625438	0.669112	0.695606
10000	0.625553	0.669114	0.695606
100000	0.625406	0.669001	0.695606
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.607991	0.695506	0.607991
0.0001	0.638662	0.697456	0.638662
0.001	0.668792	0.722313	0.668792
0.01	0.688757	0.736323	0.688757
0.1	0.694029	0.73721	0.694029
1	0.644364	0.687092	0.694029
10	0.627352	0.67085	0.694029
100	0.625633	0.669202	0.694029
1000	0.625026	0.668649	0.694029
10000	0.625684	0.669294	0.694029
100000	0.625233	0.668893	0.694029
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.616961	0.65622	0.616961
1e-005	0.0001	0.64346	0.714293	0.64346
1e-005	0.001	0.637887	0.682117	0.64346
1e-005	0.01	0.623226	0.658109	0.64346
1e-005	0.1	0.604369	0.641069	0.64346
1e-005	1	0.617005	0.651063	0.64346
1e-005	10	0.616137	0.636722	0.64346
1e-005	100	0.616434	0.647712	0.64346
1e-005	1000	0.634812	0.690667	0.64346
1e-005	10000	0.636654	0.68613	0.64346
1e-005	100000	0.71775	0.770352	0.71775
0.0001	1e-005	0.609927	0.647109	0.71775
0.0001	0.0001	0.595724	0.624735	0.71775
0.0001	0.001	0.598248	0.635787	0.71775
0.0001	0.01	0.610407	0.642755	0.71775
0.0001	0.1	0.60996	0.669597	0.71775
0.0001	1	0.601281	0.67122	0.71775
0.0001	10	0.608999	0.676873	0.71775
0.0001	100	0.596793	0.615571	0.71775
0.0001	1000	0.598202	0.653837	0.71775
0.0001	10000	0.699311	0.766187	0.71775
0.0001	100000	0.776616	0.810419	0.776616
0.001	1e-005	0.58156	0.633492	0.776616
0.001	0.0001	0.585876	0.632879	0.776616
0.001	0.001	0.579612	0.654594	0.776616
0.001	0.01	0.584963	0.658224	0.776616
0.001	0.1	0.586564	0.669727	0.776616
0.001	1	0.578611	0.655587	0.776616
0.001	10	0.584094	0.686868	0.776616
0.001	100	0.588574	0.693161	0.776616
0.001	1000	0.647036	0.750499	0.776616
0.001	10000	0.766906	0.805311	0.776616
0.001	100000	0.786774	0.818557	0.786774
0.01	1e-005	0.573133	0.660711	0.786774
0.01	0.0001	0.568743	0.639921	0.786774
0.01	0.001	0.573611	0.674421	0.786774
0.01	0.01	0.572345	0.668021	0.786774
0.01	0.1	0.577523	0.67304	0.786774
0.01	1	0.574196	0.666596	0.786774
0.01	10	0.579787	0.693034	0.786774
0.01	100	0.585311	0.725965	0.786774
0.01	1000	0.752725	0.798035	0.786774
0.01	10000	0.779891	0.814179	0.786774
0.01	100000	0.783916	0.814765	0.786774
0.1	1e-005	0.573495	0.683398	0.786774
0.1	0.0001	0.571702	0.674217	0.786774
0.1	0.001	0.572364	0.676445	0.786774
0.1	0.01	0.571691	0.675003	0.786774
0.1	0.1	0.567494	0.66316	0.786774
0.1	1	0.574069	0.682405	0.786774
0.1	10	0.572935	0.721712	0.786774
0.1	100	0.739638	0.784671	0.786774
0.1	1000	0.769693	0.807695	0.786774
0.1	10000	0.777961	0.810885	0.786774
0.1	100000	0.752211	0.783007	0.786774
1	1e-005	0.575173	0.692457	0.786774
1	0.0001	0.573752	0.695114	0.786774
1	0.001	0.57191	0.685424	0.786774
1	0.01	0.572169	0.685796	0.786774
1	0.1	0.575213	0.701653	0.786774
1	1	0.567714	0.719299	0.786774
1	10	0.728546	0.775086	0.786774
1	100	0.755538	0.792529	0.786774
1	1000	0.773172	0.80724	0.786774
1	10000	0.746407	0.778779	0.786774
1	100000	0.704063	0.738517	0.786774
10	1e-005	0.568271	0.709571	0.786774
10	0.0001	0.568913	0.710682	0.786774
10	0.001	0.568133	0.710508	0.786774
10	0.01	0.568546	0.711466	0.786774
10	0.1	0.564795	0.720049	0.786774
10	1	0.713926	0.764396	0.786774
10	10	0.746515	0.784333	0.786774
10	100	0.757397	0.792822	0.786774
10	1000	0.744015	0.776486	0.786774
10	10000	0.694502	0.730119	0.786774
10	100000	0.681809	0.718582	0.786774
100	1e-005	0.563255	0.719431	0.786774
100	0.0001	0.563131	0.719094	0.786774
100	0.001	0.563163	0.71926	0.786774
100	0.01	0.564967	0.721241	0.786774
100	0.1	0.67607	0.735331	0.786774
100	1	0.731749	0.771588	0.786774
100	10	0.748121	0.784976	0.786774
100	100	0.740397	0.773338	0.786774
100	1000	0.68853	0.724706	0.786774
100	10000	0.670151	0.708277	0.786774
100	100000	0.667918	0.706303	0.786774
1000	1e-005	0.565167	0.72207	0.786774
1000	0.0001	0.565179	0.722072	0.786774
1000	0.001	0.565465	0.722388	0.786774
