/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.565472	0.722427	0.565472
0.0001	0.601259	0.697029	0.601259
0.001	0.685061	0.752857	0.685061
0.01	0.739798	0.78583	0.739798
0.1	0.779899	0.815556	0.779899
1	0.754856	0.786708	0.779899
10	0.712209	0.745654	0.779899
100	0.712573	0.745992	0.779899
1000	0.712339	0.745794	0.779899
10000	0.712082	0.745553	0.779899
100000	0.712361	0.745811	0.779899
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.616267	0.703901	0.616267
0.0001	0.692466	0.755482	0.692466
0.001	0.744135	0.789602	0.744135
0.01	0.773881	0.809596	0.773881
0.1	0.775694	0.80697	0.775694
1	0.732237	0.764918	0.775694
10	0.714613	0.747959	0.775694
100	0.712584	0.746039	0.775694
1000	0.712673	0.746084	0.775694
10000	0.711767	0.745253	0.775694
100000	0.712224	0.745696	0.775694
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.670859	0.726007	0.670859
1e-005	0.0001	0.651707	0.703865	0.670859
1e-005	0.001	0.67572	0.721853	0.67572
1e-005	0.01	0.674176	0.710827	0.67572
1e-005	0.1	0.65568	0.701302	0.67572
1e-005	1	0.663441	0.713141	0.67572
1e-005	10	0.675297	0.722419	0.67572
1e-005	100	0.680555	0.729376	0.680555
1e-005	1000	0.676143	0.726548	0.680555
1e-005	10000	0.672198	0.719017	0.680555
1e-005	100000	0.755069	0.78934	0.755069
0.0001	1e-005	0.697619	0.749396	0.755069
0.0001	0.0001	0.682648	0.735742	0.755069
0.0001	0.001	0.687429	0.737336	0.755069
0.0001	0.01	0.695797	0.739606	0.755069
0.0001	0.1	0.697384	0.74521	0.755069
0.0001	1	0.688182	0.738527	0.755069
0.0001	10	0.68553	0.748699	0.755069
0.0001	100	0.694136	0.745777	0.755069
0.0001	1000	0.698111	0.740403	0.755069
0.0001	10000	0.754262	0.788444	0.755069
0.0001	100000	0.78892	0.820321	0.78892
0.001	1e-005	0.700006	0.757783	0.78892
0.001	0.0001	0.706088	0.752127	0.78892
0.001	0.001	0.700839	0.752875	0.78892
0.001	0.01	0.706127	0.756196	0.78892
0.001	0.1	0.704301	0.756695	0.78892
0.001	1	0.702535	0.755005	0.78892
0.001	10	0.702227	0.759586	0.78892
0.001	100	0.701856	0.761346	0.78892
0.001	1000	0.753789	0.787699	0.78892
0.001	10000	0.789102	0.820411	0.789102
0.001	100000	0.793755	0.824841	0.793755
0.01	1e-005	0.708111	0.763112	0.793755
0.01	0.0001	0.709537	0.76326	0.793755
0.01	0.001	0.704222	0.763426	0.793755
0.01	0.01	0.704742	0.764218	0.793755
0.01	0.1	0.698167	0.760701	0.793755
0.01	1	0.700894	0.764697	0.793755
0.01	10	0.70385	0.767343	0.793755
0.01	100	0.752619	0.787075	0.793755
0.01	1000	0.789013	0.820387	0.793755
0.01	10000	0.793905	0.824953	0.793905
0.01	100000	0.78125	0.810966	0.793905
0.1	1e-005	0.695196	0.759558	0.793905
0.1	0.0001	0.69957	0.761439	0.793905
0.1	0.001	0.697424	0.762524	0.793905
0.1	0.01	0.69709	0.760674	0.793905
0.1	0.1	0.691598	0.762026	0.793905
0.1	1	0.697556	0.760065	0.793905
0.1	10	0.750028	0.786927	0.793905
0.1	100	0.788983	0.82032	0.793905
0.1	1000	0.794013	0.825013	0.794013
0.1	10000	0.781515	0.811232	0.794013
0.1	100000	0.739323	0.77031	0.794013
1	1e-005	0.672603	0.756427	0.794013
1	0.0001	0.675952	0.756311	0.794013
1	0.001	0.67803	0.756147	0.794013
1	0.01	0.673393	0.756142	0.794013
1	0.1	0.680611	0.757114	0.794013
1	1	0.741176	0.784234	0.794013
1	10	0.788787	0.820121	0.794013
1	100	0.794025	0.825192	0.794025
1	1000	0.782064	0.811759	0.794025
1	10000	0.739921	0.770873	0.794025
1	100000	0.723713	0.755797	0.794025
10	1e-005	0.647993	0.747891	0.794025
10	0.0001	0.647781	0.748718	0.794025
10	0.001	0.647552	0.748965	0.794025
10	0.01	0.647145	0.749141	0.794025
10	0.1	0.708507	0.771739	0.794025
10	1	0.786475	0.81796	0.794025
10	10	0.794624	0.825771	0.794624
10	100	0.784464	0.814203	0.794624
10	1000	0.741616	0.772533	0.794624
10	10000	0.723817	0.755902	0.794624
10	100000	0.721791	0.754021	0.794624
100	1e-005	0.609603	0.74048	0.794624
