/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.903896	9.22571e-005	0.903896
0.0001	0.903899	4.34146e-005	0.903899
0.001	0.9039	0.000179095	0.9039
0.01	0.906397	0.0799725	0.906397
0.1	0.925003	0.471033	0.925003
1	0.921231	0.536466	0.925003
10	0.898401	0.459069	0.925003
100	0.898519	0.460976	0.925003
1000	0.898716	0.461581	0.925003
10000	0.898762	0.461437	0.925003
100000	0.898811	0.46206	0.925003
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.903894	5.428e-005	0.903894
0.0001	0.903896	5.97112e-005	0.903896
0.001	0.907193	0.119829	0.907193
0.01	0.920018	0.409867	0.920018
0.1	0.924398	0.49981	0.924398
1	0.910563	0.485805	0.924398
10	0.900226	0.464336	0.924398
100	0.899322	0.464346	0.924398
1000	0.898558	0.460694	0.924398
10000	0.898766	0.463052	0.924398
100000	0.898858	0.462691	0.924398
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.881022	0.240513	0.881022
1e-005	0.0001	0.883001	0.306649	0.883001
1e-005	0.001	0.874912	0.163088	0.883001
1e-005	0.01	0.856561	0.315284	0.883001
1e-005	0.1	0.843776	0.280316	0.883001
1e-005	1	0.895392	0.196907	0.895392
1e-005	10	0.895026	0.165726	0.895392
1e-005	100	0.871132	0.269304	0.895392
1e-005	1000	0.876317	0.167334	0.895392
1e-005	10000	0.891267	0.251423	0.895392
1e-005	100000	0.92162	0.440639	0.92162
0.0001	1e-005	0.884864	0.269244	0.92162
0.0001	0.0001	0.886189	0.226455	0.92162
0.0001	0.001	0.867855	0.346599	0.92162
0.0001	0.01	0.876666	0.219198	0.92162
0.0001	0.1	0.892362	0.29792	0.92162
0.0001	1	0.882212	0.292376	0.92162
0.0001	10	0.896709	0.243942	0.92162
0.0001	100	0.888425	0.248853	0.92162
0.0001	1000	0.86425	0.27079	0.92162
0.0001	10000	0.921223	0.419035	0.92162
0.0001	100000	0.929153	0.53169	0.929153
0.001	1e-005	0.894831	0.283381	0.929153
