/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.887146	0.899137	0.887146
0.0001	0.950064	0.95623	0.950064
0.001	0.981827	0.984324	0.981827
0.01	0.991496	0.99261	0.991496
0.1	0.99251	0.993502	0.99251
1	0.992097	0.993157	0.99251
10	0.988254	0.989843	0.99251
100	0.988254	0.989843	0.99251
1000	0.988246	0.989836	0.99251
10000	0.9882	0.989796	0.99251
100000	0.988201	0.989797	0.99251
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.936671	0.943725	0.936671
0.0001	0.972111	0.976099	0.972111
0.001	0.988583	0.990128	0.988583
0.01	0.991778	0.99287	0.991778
0.1	0.991644	0.992758	0.991778
1	0.989517	0.990929	0.991778
10	0.988338	0.989914	0.991778
100	0.98817	0.98977	0.991778
1000	0.988222	0.989815	0.991778
10000	0.988155	0.989757	0.991778
100000	0.988264	0.989851	0.991778
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.718751	0.702812	0.718751
1e-005	0.0001	0.684861	0.670268	0.718751
1e-005	0.001	0.582798	0.545757	0.718751
1e-005	0.01	0.658913	0.618068	0.718751
1e-005	0.1	0.760413	0.76287	0.760413
1e-005	1	0.799964	0.801139	0.799964
1e-005	10	0.703542	0.676238	0.799964
1e-005	100	0.653151	0.592051	0.799964
1e-005	1000	0.810247	0.798027	0.810247
1e-005	10000	0.774322	0.821099	0.810247
1e-005	100000	0.931663	0.94585	0.931663
0.0001	1e-005	0.787284	0.81428	0.931663
0.0001	0.0001	0.72889	0.675983	0.931663
0.0001	0.001	0.732301	0.715657	0.931663
0.0001	0.01	0.70591	0.700636	0.931663
0.0001	0.1	0.723548	0.724281	0.931663
0.0001	1	0.798033	0.788621	0.931663
0.0001	10	0.797522	0.818915	0.931663
0.0001	100	0.742844	0.730465	0.931663
0.0001	1000	0.751644	0.704272	0.931663
0.0001	10000	0.962508	0.9703	0.962508
0.0001	100000	0.994511	0.995264	0.994511
0.001	1e-005	0.827474	0.873314	0.994511
0.001	0.0001	0.84027	0.860229	0.994511
0.001	0.001	0.856561	0.892491	0.994511
0.001	0.01	0.831061	0.85908	0.994511
0.001	0.1	0.872899	0.904923	0.994511
0.001	1	0.857096	0.888565	0.994511
0.001	10	0.840866	0.852608	0.994511
0.001	100	0.873549	0.901773	0.994511
0.001	1000	0.990799	0.992015	0.994511
0.001	10000	0.995553	0.996157	0.995553
0.001	100000	0.996574	0.997037	0.996574
0.01	1e-005	0.840603	0.880137	0.996574
0.01	0.0001	0.877253	0.906075	0.996574
0.01	0.001	0.853054	0.887913	0.996574
0.01	0.01	0.891066	0.916138	0.996574
0.01	0.1	0.851138	0.886699	0.996574
0.01	1	0.814752	0.86307	0.996574
0.01	10	0.82858	0.871851	0.996574
0.01	100	0.991839	0.992902	0.996574
0.01	1000	0.995257	0.9959	0.996574
0.01	10000	0.996317	0.996815	0.996574
0.01	100000	0.995799	0.996367	0.996574
0.1	1e-005	0.876805	0.90361	0.996574
0.1	0.0001	0.90744	0.926283	0.996574
0.1	0.001	0.90114	0.920782	0.996574
0.1	0.01	0.85348	0.887483	0.996574
0.1	0.1	0.851682	0.886336	0.996574
0.1	1	0.852482	0.886158	0.996574
0.1	10	0.991525	0.992625	0.996574
0.1	100	0.994126	0.994916	0.996574
0.1	1000	0.995608	0.9962	0.996574
0.1	10000	0.995001	0.995676	0.996574
0.1	100000	0.994455	0.995206	0.996574
1	1e-005	0.960069	0.966391	0.996574
1	0.0001	0.969712	0.974392	0.996574
1	0.001	0.972061	0.976223	0.996574
1	0.01	0.965744	0.970955	0.996574
1	0.1	0.961783	0.967851	0.996574
1	1	0.991479	0.992585	0.996574
1	10	0.99367	0.99452	0.996574
1	100	0.994185	0.994962	0.996574
1	1000	0.993871	0.994698	0.996574
1	10000	0.993009	0.993957	0.996574
1	100000	0.992799	0.993775	0.996574
10	1e-005	0.985297	0.987223	0.996574
10	0.0001	0.985599	0.987483	0.996574
10	0.001	0.98548	0.98738	0.996574
10	0.01	0.985593	0.987477	0.996574
10	0.1	0.99056	0.991781	0.996574
10	1	0.993086	0.994014	0.996574
10	10	0.993549	0.994409	0.996574
10	100	0.992397	0.993421	0.996574
10	1000	0.991183	0.992377	0.996574
10	10000	0.990901	0.992136	0.996574
10	100000	0.990843	0.992086	0.996574
100	1e-005	0.985078	0.987048	0.996574
100	0.0001	0.985051	0.987026	0.996574
100	0.001	0.985064	0.987037	0.996574
100	0.01	0.987916	0.989466	0.996574
100	0.1	0.992594	0.993568	0.996574
100	1	0.993278	0.994174	0.996574
100	10	0.992368	0.993392	0.996574
100	100	0.990104	0.991444	0.996574
100	1000	0.98963	0.991037	0.996574
100	10000	0.989595	0.991007	0.996574
100	100000	0.989548	0.990966	0.996574
1000	1e-005	0.980532	0.98316	0.996574
1000	0.0001	0.980555	0.983179	0.996574
1000	0.001	0.981179	0.983748	0.996574
1000	0.01	0.990634	0.991854	0.996574
1000	0.1	0.992594	0.993572	0.996574
1000	1	0.99296	0.9939	0.996574
1000	10	0.9904	0.991694	0.996574
1000	100	0.989087	0.990566	0.996574
1000	1000	0.988873	0.990382	0.996574
1000	10000	0.988918	0.990421	0.996574
1000	100000	0.988872	0.990381	0.996574
10000	1e-005	0.958786	0.96395	0.996574
10000	0.0001	0.95798	0.963269	0.996574
10000	0.001	0.980975	0.983602	0.996574
10000	0.01	0.991569	0.992673	0.996574
10000	0.1	0.992503	0.993494	0.996574
10000	1	0.992571	0.993565	0.996574
10000	10	0.989705	0.991095	0.996574
10000	100	0.988792	0.990311	0.996574
10000	1000	0.988577	0.990126	0.996574
10000	10000	0.988496	0.990056	0.996574
10000	100000	0.9886	0.990146	0.996574
100000	1e-005	0.912932	0.921353	0.996574
100000	0.0001	0.949814	0.955975	0.996574
100000	0.001	0.981775	0.984282	0.996574
100000	0.01	0.991369	0.992498	0.996574
100000	0.1	0.992497	0.99349	0.996574
100000	1	0.992401	0.993419	0.996574
100000	10	0.989577	0.990985	0.996574
100000	100	0.988703	0.990234	0.996574
100000	1000	0.988467	0.990031	0.996574
100000	10000	0.988543	0.990096	0.996574
100000	100000	0.988494	0.990054	0.996574
/******************************************/
/******************************************/
r	 acc	 f1	 max_F1
1e-005	0.993897	0.994728	0.993897
0.0001	0.993907	0.994736	0.993907
0.001	0.993636	0.994496	0.993907
0.01	0.992672	0.993653	0.993907
0.1	0.991235	0.992399	0.993907
1	0.989926	0.991246	0.993907
10	0.987919	0.989479	0.993907
100	0.986842	0.988573	0.993907
1000	0.982669	0.98508	0.993907
10000	0.97135	0.975375	0.993907
100000	0.929847	0.93727	0.993907
/******************************************/

Best PAI_C: 	0.1
Best PAII_C:	0.01
Best AROW_r=0.001	 AROW_eta=100000
Best AROWC_r=0.0001
