/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.9605	0	0.9605
0.0001	0.9605	0	0.9605
0.001	0.9605	0	0.9605
0.01	0.9605	0	0.9605
0.1	0.9698	0.386179	0.9698
1	0.98545	0.801906	0.98545
10	0.98195	0.767846	0.98545
100	0.98195	0.767846	0.98545
1000	0.981587	0.762818	0.98545
10000	0.9805	0.747736	0.98545
100000	0.9805	0.747736	0.98545
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.9605	0	0.9605
0.0001	0.9605	0	0.9605
0.001	0.9605	0	0.9605
0.01	0.96185	0.0683761	0.96185
0.1	0.98465	0.775749	0.98465
1	0.9839	0.784759	0.98465
10	0.9811	0.755181	0.98465
100	0.98031	0.744899	0.98465
1000	0.97945	0.732248	0.98465
10000	0.97945	0.732248	0.98465
100000	0.97945	0.732248	0.98465
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.9537	0.00430108	0.9537
1e-005	0.0001	0.95494	0.00393837	0.95494
1e-005	0.001	0.9599	0.00248756	0.9599
1e-005	0.01	0.9599	0.00248756	0.9599
1e-005	0.1	0.960712	0.0311774	0.960712
1e-005	1	0.96115	0.0466258	0.96115
1e-005	10	0.961173	0.120111	0.961173
1e-005	100	0.9613	0.536527	0.9613
1e-005	1000	0.9613	0.536527	0.9613
1e-005	10000	0.95272	0.530402	0.9613
1e-005	100000	0.9906	0.869986	0.9906
0.0001	1e-005	0.952	0.554731	0.9906
0.0001	0.0001	0.95455	0.388312	0.9906
0.0001	0.001	0.9605	0	0.9906
0.0001	0.01	0.9605	0	0.9906
0.0001	0.1	0.96338	0.21626	0.9906
0.0001	1	0.9641	0.270325	0.9906
0.0001	10	0.96266	0.203279	0.9906
0.0001	100	0.9593	0.0468384	0.9906
0.0001	1000	0.95945	0.0310633	0.9906
0.0001	10000	0.99085	0.876435	0.99085
0.0001	100000	0.989202	0.856907	0.99085
0.001	1e-005	0.9528	0.154122	0.99085
0.001	0.0001	0.9528	0.154122	0.99085
0.001	0.001	0.96312	0.442937	0.99085
0.001	0.01	0.97	0.63548	0.99085
0.001	0.1	0.96905	0.571932	0.99085
0.001	1	0.9605	0	0.99085
0.001	10	0.9605	0	0.99085
0.001	100	0.9605	0	0.99085
0.001	1000	0.99085	0.873531	0.99085
0.001	10000	0.9896	0.863158	0.99085
0.001	100000	0.9858	0.81701	0.99085
0.01	1e-005	0.9605	0	0.99085
0.01	0.0001	0.96057	0.00439698	0.99085
0.01	0.001	0.9607	0.0125628	0.99085
0.01	0.01	0.9607	0.0125628	0.99085
0.01	0.1	0.960445	0.00188442	0.99085
0.01	1	0.9604	0	0.99085
0.01	10	0.96034	0.00075188	0.99085
0.01	100	0.9913	0.879501	0.9913
0.01	1000	0.9902	0.870027	0.9913
0.01	10000	0.9851	0.809463	0.9913
0.01	100000	0.98355	0.791376	0.9913
0.1	1e-005	0.9605	0	0.9913
0.1	0.0001	0.9605	0	0.9913
0.1	0.001	0.9605	0	0.9913
0.1	0.01	0.9605	0	0.9913
0.1	0.1	0.9605	0	0.9913
0.1	1	0.9605	0	0.9913
0.1	10	0.9908	0.870605	0.9913
0.1	100	0.99037	0.871703	0.9913
0.1	1000	0.98575	0.816484	0.9913
0.1	10000	0.98355	0.791904	0.9913
0.1	100000	0.98315	0.786844	0.9913
1	1e-005	0.9605	0.00252525	0.9913
1	0.0001	0.9605	0.00151515	0.9913
1	0.001	0.9605	0	0.9913
1	0.01	0.9605	0	0.9913
1	0.1	0.9605	0	0.9913
1	1	0.986	0.78691	0.9913
1	10	0.99125	0.880709	0.9913
1	100	0.98745	0.834977	0.9913
1	1000	0.98395	0.79515	0.9913
1	10000	0.9833	0.789141	0.9913
1	100000	0.98345	0.790639	0.9913
10	1e-005	0.9605	0	0.9913
10	0.0001	0.9605	0	0.9913
10	0.001	0.9605	0	0.9913
10	0.01	0.9605	0	0.9913
10	0.1	0.9605	0	0.9913
10	1	0.9887	0.839031	0.9913
10	10	0.98905	0.852525	0.9913
10	100	0.98295	0.78127	0.9913
10	1000	0.98164	0.767742	0.9913
10	10000	0.9823	0.776233	0.9913
10	100000	0.9823	0.776233	0.9913
100	1e-005	0.9605	0	0.9913
100	0.0001	0.9605	0	0.9913
100	0.001	0.9605	0	0.9913
100	0.01	0.9605	0	0.9913
100	0.1	0.9649	0.200456	0.9913
100	1	0.9887	0.84349	0.9913
100	10	0.98485	0.799471	0.9913
100	100	0.98045	0.75016	0.9913
100	1000	0.9794	0.739241	0.9913
100	10000	0.9808	0.757269	0.9913
100	100000	0.9808	0.757269	0.9913
1000	1e-005	0.9605	0	0.9913
1000	0.0001	0.9605	0	0.9913
1000	0.001	0.960543	0.00214918	0.9913
1000	0.01	0.96055	0.00252845	0.9913
1000	0.1	0.9683	0.32981	0.9913
1000	1	0.9867	0.81294	0.9913
1000	10	0.9803	0.743823	0.9913
1000	100	0.97715	0.709472	0.9913
1000	1000	0.97845	0.727732	0.9913
1000	10000	0.97845	0.727732	0.9913
1000	100000	0.978	0.722222	0.9913
10000	1e-005	0.96051	0.000505689	0.9913
10000	0.0001	0.9605	0	0.9913
10000	0.001	0.9605	0	0.9913
10000	0.01	0.9605	0	0.9913
10000	0.1	0.96795	0.323126	0.9913
10000	1	0.9861	0.806407	0.9913
10000	10	0.9794	0.732815	0.9913
10000	100	0.9779	0.720253	0.9913
10000	1000	0.97775	0.718888	0.9913
10000	10000	0.9772	0.711757	0.9913
10000	100000	0.9772	0.711757	0.9913
100000	1e-005	0.9605	0	0.9913
100000	0.0001	0.9605	0	0.9913
100000	0.001	0.9605	0	0.9913
100000	0.01	0.9605	0	0.9913
100000	0.1	0.969	0.358178	0.9913
100000	1	0.985605	0.799053	0.9913
100000	10	0.9793	0.732558	0.9913
100000	100	0.9785	0.727503	0.9913
100000	1000	0.97715	0.711308	0.9913
100000	10000	0.9768	0.7067	0.9913
100000	100000	0.9768	0.7067	0.9913
/******************************************/
/******************************************/
r	 acc	 f1	 max_F1
1e-005	0.9912	0.878621	0.9912
0.0001	0.99115	0.877847	0.9912
0.001	0.9912	0.878453	0.9912
0.01	0.99107	0.876987	0.9912
0.1	0.9907	0.872077	0.9912
1	0.9883	0.830925	0.9912
10	0.97005	0.389399	0.9912
100	0.9605	0	0.9912
1000	0.9605	0	0.9912
10000	0.9605	0	0.9912
100000	0.9605	0	0.9912
/******************************************/

Best PAI_C: 	1
Best PAII_C:	0.1
Best AROW_r=0.01	 AROW_eta=100
Best AROWC_r=1e-005
