/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.64837	0.786667	0.64837
0.0001	0.64837	0.786667	0.64837
0.001	0.648686	0.786776	0.648686
0.01	0.68428	0.799492	0.68428
0.1	0.715563	0.807665	0.715563
1	0.671399	0.757696	0.715563
10	0.618998	0.706729	0.715563
100	0.6204	0.708	0.715563
1000	0.6204	0.708	0.715563
10000	0.6204	0.708	0.715563
100000	0.6204	0.708	0.715563
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.64837	0.786653	0.64837
0.0001	0.649895	0.7873	0.649895
0.001	0.682492	0.797587	0.682492
0.01	0.715195	0.807464	0.715195
0.1	0.707098	0.794375	0.715195
1	0.641272	0.72833	0.715195
10	0.622387	0.709855	0.715195
100	0.620452	0.708052	0.715195
1000	0.620347	0.707971	0.715195
10000	0.620189	0.707814	0.715195
100000	0.620189	0.707814	0.715195
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.663775	0.785496	0.663775
1e-005	0.0001	0.663775	0.785496	0.663775
1e-005	0.001	0.705289	0.809098	0.705289
1e-005	0.01	0.732965	0.824832	0.732965
1e-005	0.1	0.732965	0.824832	0.732965
1e-005	1	0.732965	0.824832	0.732965
1e-005	10	0.726562	0.81626	0.732965
1e-005	100	0.722292	0.810545	0.732965
1e-005	1000	0.722292	0.810545	0.732965
1e-005	10000	0.725499	0.814444	0.732965
1e-005	100000	0.758233	0.834942	0.758233
0.0001	1e-005	0.729968	0.812226	0.758233
0.0001	0.0001	0.729968	0.812226	0.758233
0.0001	0.001	0.729968	0.812226	0.758233
0.0001	0.01	0.722421	0.814092	0.758233
0.0001	0.1	0.716246	0.81562	0.758233
0.0001	1	0.716246	0.81562	0.758233
0.0001	10	0.716246	0.81562	0.758233
0.0001	100	0.729748	0.81329	0.758233
0.0001	1000	0.732492	0.813079	0.758233
0.0001	10000	0.750315	0.83222	0.758233
0.0001	100000	0.77408	0.838185	0.77408
0.001	1e-005	0.718283	0.808373	0.77408
0.001	0.0001	0.719821	0.815663	0.77408
0.001	0.001	0.719821	0.815663	0.77408
0.001	0.01	0.719821	0.815663	0.77408
0.001	0.1	0.704582	0.804864	0.77408
0.001	1	0.692114	0.796029	0.77408
0.001	10	0.692114	0.796029	0.77408
0.001	100	0.692008	0.796002	0.77408
0.001	1000	0.74489	0.826042	0.77408
0.001	10000	0.773134	0.838105	0.77408
0.001	100000	0.761409	0.827058	0.77408
0.01	1e-005	0.663828	0.791319	0.77408
0.01	0.0001	0.663828	0.791319	0.77408
0.01	0.001	0.69378	0.793963	0.77408
0.01	0.01	0.697108	0.794257	0.77408
0.01	0.1	0.697108	0.794257	0.77408
0.01	1	0.697392	0.794066	0.77408
0.01	10	0.699895	0.792527	0.77408
0.01	100	0.745952	0.828055	0.77408
0.01	1000	0.7704	0.836117	0.77408
0.01	10000	0.760988	0.826911	0.77408
0.01	100000	0.713091	0.785284	0.77408
0.1	1e-005	0.699395	0.807613	0.77408
0.1	0.0001	0.701052	0.809246	0.77408
0.1	0.001	0.701052	0.809246	0.77408
0.1	0.01	0.697755	0.807245	0.77408
0.1	0.1	0.679075	0.795907	0.77408
0.1	1	0.679075	0.795907	0.77408
0.1	10	0.728444	0.819349	0.77408
0.1	100	0.764826	0.833277	0.77408
0.1	1000	0.76183	0.828064	0.77408
0.1	10000	0.713933	0.786418	0.77408
0.1	100000	0.675079	0.750585	0.77408
1	1e-005	0.667035	0.792367	0.77408
1	0.0001	0.667035	0.792367	0.77408
1	0.001	0.685988	0.801037	0.77408
