/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.821103	0.794582	0.821103
0.0001	0.820996	0.794526	0.821103
0.001	0.820996	0.794526	0.821103
0.01	0.839502	0.825532	0.839502
0.1	0.89395	0.892998	0.89395
1	0.897153	0.896914	0.897153
10	0.883986	0.884397	0.897153
100	0.883986	0.884397	0.897153
1000	0.883986	0.884397	0.897153
10000	0.883986	0.884397	0.897153
100000	0.883986	0.884397	0.897153
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.674199	0.529669	0.674199
0.0001	0.70605	0.598054	0.70605
0.001	0.79573	0.765427	0.79573
0.01	0.877046	0.873559	0.877046
0.1	0.902135	0.901751	0.902135
1	0.89395	0.893912	0.902135
10	0.884875	0.885263	0.902135
100	0.884342	0.884752	0.902135
1000	0.883986	0.884397	0.902135
10000	0.883986	0.884397	0.902135
100000	0.883986	0.884397	0.902135
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.824706	0.833525	0.824706
1e-005	0.0001	0.833132	0.833373	0.833132
1e-005	0.001	0.841263	0.838537	0.841263
1e-005	0.01	0.83968	0.840859	0.841263
1e-005	0.1	0.832562	0.836547	0.841263
1e-005	1	0.833808	0.823906	0.841263
1e-005	10	0.843915	0.847226	0.843915
1e-005	100	0.848203	0.847763	0.848203
1e-005	1000	0.840988	0.832127	0.848203
1e-005	10000	0.825552	0.811787	0.848203
1e-005	100000	0.863879	0.853139	0.863879
0.0001	1e-005	0.808968	0.792428	0.863879
0.0001	0.0001	0.852669	0.852512	0.863879
0.0001	0.001	0.84306	0.830775	0.863879
0.0001	0.01	0.840783	0.836386	0.863879
0.0001	0.1	0.832384	0.839199	0.863879
0.0001	1	0.832206	0.837785	0.863879
0.0001	10	0.846459	0.836329	0.863879
0.0001	100	0.870641	0.866139	0.870641
0.0001	1000	0.844858	0.847707	0.870641
0.0001	10000	0.91637	0.917108	0.91637
0.0001	100000	0.909769	0.908969	0.91637
0.001	1e-005	0.88363	0.878167	0.91637
0.001	0.0001	0.868203	0.873761	0.91637
0.001	0.001	0.87605	0.880649	0.91637
0.001	0.01	0.87669	0.882042	0.91637
0.001	0.1	0.864911	0.873283	0.91637
0.001	1	0.856228	0.860545	0.91637
0.001	10	0.874315	0.869589	0.91637
0.001	100	0.888034	0.882712	0.91637
0.001	1000	0.921708	0.920721	0.921708
0.001	10000	0.912367	0.91233	0.921708
0.001	100000	0.901246	0.901087	0.921708
0.01	1e-005	0.901423	0.902739	0.921708
0.01	0.0001	0.888772	0.892134	0.921708
0.01	0.001	0.901068	0.901595	0.921708
0.01	0.01	0.879715	0.870128	0.921708
0.01	0.1	0.84871	0.840006	0.921708
0.01	1	0.840329	0.85946	0.921708
0.01	10	0.897153	0.893042	0.921708
0.01	100	0.92694	0.926413	0.92694
0.01	1000	0.914413	0.91403	0.92694
0.01	10000	0.90516	0.904736	0.92694
0.01	100000	0.903737	0.903685	0.92694
0.1	1e-005	0.908746	0.908997	0.92694
0.1	0.0001	0.907384	0.905093	0.92694
0.1	0.001	0.906584	0.908072	0.92694
0.1	0.01	0.908505	0.904103	0.92694
0.1	0.1	0.893149	0.897741	0.92694
0.1	1	0.893327	0.899678	0.92694
0.1	10	0.921886	0.9219	0.92694
0.1	100	0.919217	0.918842	0.92694
0.1	1000	0.906228	0.906111	0.92694
0.1	10000	0.899582	0.899355	0.92694
0.1	100000	0.901601	0.901303	0.92694
1	1e-005	0.915302	0.913674	0.92694
1	0.0001	0.903559	0.897736	0.92694
1	0.001	0.900569	0.893904	0.92694
1	0.01	0.898434	0.898182	0.92694
1	0.1	0.904128	0.90662	0.92694
1	1	0.921174	0.92102	0.92694
1	10	0.920463	0.920335	0.92694
1	100	0.903915	0.904085	0.92694
1	1000	0.902856	0.902667	0.92694
1	10000	0.901423	0.901248	0.92694
1	100000	0.904982	0.904813	0.92694
10	1e-005	0.888372	0.88516	0.92694
10	0.0001	0.89306	0.893459	0.92694
10	0.001	0.881904	0.873447	0.92694
10	0.01	0.886673	0.884599	0.92694
10	0.1	0.899893	0.899124	0.92694
10	1	0.920641	0.91964	0.92694
10	10	0.91032	0.909903	0.92694
10	100	0.9	0.899714	0.92694
10	1000	0.896263	0.896023	0.92694
10	10000	0.900178	0.899982	0.92694
10	100000	0.9	0.899822	0.92694
100	1e-005	0.85694	0.849888	0.92694
100	0.0001	0.86161	0.857091	0.92694
100	0.001	0.857491	0.848537	0.92694
100	0.01	0.853167	0.842825	0.92694
100	0.1	0.894662	0.893907	0.92694
100	1	0.913523	0.913276	0.92694
100	10	0.895231	0.894818	0.92694
100	100	0.887722	0.887662	0.92694
100	1000	0.890391	0.890196	0.92694
100	10000	0.887544	0.887344	0.92694
100	100000	0.887544	0.887344	0.92694
