/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.761616	0	0.761616
0.0001	0.761616	0	0.761616
0.001	0.761616	0	0.761616
0.01	0.761616	0	0.761616
0.1	0.798446	0.267645	0.798446
1	0.937995	0.864332	0.937995
10	0.933489	0.857143	0.937995
100	0.933489	0.857143	0.937995
1000	0.933489	0.857143	0.937995
10000	0.933489	0.857143	0.937995
100000	0.933489	0.857143	0.937995
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.761616	0	0.761616
0.0001	0.761616	0	0.761616
0.001	0.761616	0	0.761616
0.01	0.761616	0	0.761616
0.1	0.914064	0.7839	0.914064
1	0.936597	0.861035	0.936597
10	0.933489	0.85676	0.936597
100	0.933178	0.856379	0.936597
1000	0.933489	0.857143	0.936597
10000	0.934095	0.858347	0.936597
100000	0.935509	0.861158	0.936597
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.914996	0.789047	0.914996
1e-005	0.0001	0.914996	0.789047	0.914996
1e-005	0.001	0.916674	0.804827	0.916674
1e-005	0.01	0.919192	0.828496	0.919192
1e-005	0.1	0.919192	0.828496	0.919192
1e-005	1	0.922339	0.842686	0.922339
1e-005	10	0.923388	0.847416	0.923388
1e-005	100	0.923023	0.846903	0.923388
1e-005	1000	0.916084	0.837153	0.923388
1e-005	10000	0.91826	0.840799	0.923388
1e-005	100000	0.959285	0.918074	0.959285
0.0001	1e-005	0.947397	0.894239	0.959285
0.0001	0.0001	0.961772	0.920645	0.961772
0.0001	0.001	0.961772	0.920645	0.961772
0.0001	0.01	0.930816	0.869777	0.961772
0.0001	0.1	0.923077	0.85706	0.961772
0.0001	1	0.922821	0.849443	0.961772
0.0001	10	0.921368	0.806279	0.961772
0.0001	100	0.921368	0.806279	0.961772
0.0001	1000	0.918151	0.797612	0.961772
0.0001	10000	0.977778	0.952727	0.977778
0.0001	100000	0.975447	0.9489	0.977778
0.001	1e-005	0.928361	0.825445	0.977778
0.001	0.0001	0.92979	0.829299	0.977778
0.001	0.001	0.942657	0.863988	0.977778
0.001	0.01	0.942657	0.863988	0.977778
0.001	0.1	0.952883	0.890412	0.977778
0.001	1	0.971873	0.939485	0.977778
0.001	10	0.971873	0.939485	0.977778
0.001	100	0.974709	0.945199	0.977778
0.001	1000	0.980575	0.959217	0.980575
0.001	10000	0.977312	0.952597	0.980575
0.001	100000	0.976379	0.950489	0.980575
0.01	1e-005	0.961772	0.913258	0.980575
0.01	0.0001	0.95655	0.8999	0.980575
0.01	0.001	0.946853	0.875091	0.980575
0.01	0.01	0.946853	0.875091	0.980575
0.01	0.1	0.940544	0.857972	0.980575
0.01	1	0.93784	0.850635	0.980575
0.01	10	0.937374	0.849346	0.980575
0.01	100	0.977001	0.951917	0.980575
0.01	1000	0.977312	0.95269	0.980575
0.01	10000	0.975136	0.947984	0.980575
0.01	100000	0.975291	0.948326	0.980575
0.1	1e-005	0.929759	0.828137	0.980575
0.1	0.0001	0.929759	0.828137	0.980575
0.1	0.001	0.869899	0.620839	0.980575
0.1	0.01	0.863248	0.597806	0.980575
0.1	0.1	0.862005	0.592603	0.980575
0.1	1	0.857964	0.575673	0.980575
0.1	10	0.973427	0.942014	0.980575
0.1	100	0.978244	0.954188	0.980575
0.1	1000	0.975602	0.948676	0.980575
0.1	10000	0.97467	0.946923	0.980575
0.1	100000	0.974825	0.947197	0.980575
1	1e-005	0.763232	0.0133594	0.980575
1	0.0001	0.765657	0.0333333	0.980575
1	0.001	0.765657	0.0333333	0.980575
1	0.01	0.769596	0.0645122	0.980575
1	0.1	0.771717	0.0813008	0.980575
1	1	0.922766	0.807737	0.980575
1	10	0.97871	0.954979	0.980575
1	100	0.974514	0.946159	0.980575
1	1000	0.972183	0.941675	0.980575
1	10000	0.970008	0.937031	0.980575
1	100000	0.971717	0.940639	0.980575
10	1e-005	0.761616	0	0.980575
10	0.0001	0.761616	0	0.980575
10	0.001	0.761616	0.000520833	0.980575
10	0.01	0.761616	0.00130208	0.980575
10	0.1	0.761616	0.00130208	0.980575
10	1	0.956022	0.900876	0.980575
10	10	0.973737	0.944353	0.980575
10	100	0.967366	0.931193	0.980575
10	1000	0.964444	0.92534	0.980575
10	10000	0.965035	0.926638	0.980575
10	100000	0.965035	0.926638	0.980575
100	1e-005	0.761616	0.00260078	0.980575
100	0.0001	0.761616	0.00260078	0.980575
100	0.001	0.761616	0.00117035	0.980575
100	0.01	0.761616	0	0.980575
100	0.1	0.773893	0.0979541	0.980575
100	1	0.956488	0.902303	0.980575
100	10	0.957576	0.909931	0.980575
100	100	0.948718	0.892086	0.980575
100	1000	0.949029	0.89309	0.980575
100	10000	0.946542	0.887875	0.980575
100	100000	0.946263	0.887251	0.980575
1000	1e-005	0.761616	0	0.980575
1000	0.0001	0.761616	0	0.980575
1000	0.001	0.761616	0	0.980575
1000	0.01	0.761616	0	0.980575
1000	0.1	0.78446	0.174896	0.980575
1000	1	0.944988	0.876741	0.980575
1000	10	0.931779	0.855545	0.980575
1000	100	0.927273	0.847755	0.980575
1000	1000	0.923543	0.839635	0.980575
1000	10000	0.923699	0.840013	0.980575
1000	100000	0.923699	0.840013	0.980575
10000	1e-005	0.761616	0	0.980575
10000	0.0001	0.761616	0	0.980575
10000	0.001	0.761616	0	0.980575
10000	0.01	0.761616	0	0.980575
10000	0.1	0.788811	0.204798	0.980575
10000	1	0.937995	0.862839	0.980575
10000	10	0.92634	0.842734	0.980575
10000	100	0.919037	0.829683	0.980575
10000	1000	0.921057	0.83442	0.980575
10000	10000	0.919814	0.831922	0.980575
10000	100000	0.919814	0.831922	0.980575
100000	1e-005	0.761538	0.00259235	0.980575
100000	0.0001	0.761461	0.00518471	0.980575
100000	0.001	0.761461	0.00518471	0.980575
100000	0.01	0.761492	0.00414776	0.980575
100000	0.1	0.793939	0.239679	0.980575
100000	1	0.937374	0.860794	0.980575
100000	10	0.922145	0.835143	0.980575
100000	100	0.919037	0.829683	0.980575
100000	1000	0.917638	0.827362	0.980575
100000	10000	0.917638	0.827362	0.980575
100000	100000	0.917638	0.827362	0.980575
/******************************************/
/******************************************/
r	 acc	 f1	 max_F1
1e-005	0.977001	0.951854	0.977001
0.0001	0.979332	0.956832	0.979332
0.001	0.980995	0.9602	0.980995
0.01	0.981041	0.959921	0.981041
0.1	0.979176	0.955422	0.981041
1	0.962082	0.914745	0.981041
10	0.85066	0.543901	0.981041
100	0.761616	0	0.981041
1000	0.761616	0	0.981041
10000	0.761616	0.000195313	0.981041
100000	0.761616	0.00130208	0.981041
/******************************************/

Best PAI_C: 	1
Best PAII_C:	1
Best AROW_r=0.001	 AROW_eta=1000
Best AROWC_r=0.01
