/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.605097	0.753574	0.605097
0.0001	0.605086	0.753827	0.605097
0.001	0.605086	0.753827	0.605097
0.01	0.605086	0.753827	0.605097
0.1	0.624429	0.752719	0.624429
1	0.639861	0.708634	0.639861
10	0.602695	0.671577	0.639861
100	0.602695	0.671577	0.639861
1000	0.602695	0.671577	0.639861
10000	0.602695	0.671577	0.639861
100000	0.602695	0.671577	0.639861
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.605086	0.753827	0.605086
0.0001	0.605086	0.753827	0.605086
0.001	0.605086	0.753827	0.605086
0.01	0.631602	0.754952	0.631602
0.1	0.652032	0.731871	0.652032
1	0.621387	0.689151	0.652032
10	0.604869	0.673491	0.652032
100	0.602695	0.671577	0.652032
1000	0.602695	0.671577	0.652032
10000	0.602695	0.671577	0.652032
100000	0.602695	0.671577	0.652032
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.713541	0.73039	0.713541
1e-005	0.0001	0.695066	0.701553	0.713541
1e-005	0.001	0.713258	0.714612	0.713541
1e-005	0.01	0.735492	0.730573	0.735492
1e-005	0.1	0.739231	0.758262	0.739231
1e-005	1	0.744838	0.799795	0.744838
1e-005	10	0.724299	0.757656	0.744838
1e-005	100	0.686155	0.679396	0.744838
1e-005	1000	0.673288	0.657146	0.744838
1e-005	10000	0.643556	0.602135	0.744838
1e-005	100000	0.768094	0.775037	0.768094
0.0001	1e-005	0.667344	0.658047	0.768094
0.0001	0.0001	0.686807	0.709417	0.768094
0.0001	0.001	0.726581	0.748797	0.768094
0.0001	0.01	0.766355	0.788177	0.768094
0.0001	0.1	0.7688	0.79114	0.7688
0.0001	1	0.771789	0.794762	0.771789
0.0001	10	0.74098	0.753847	0.771789
0.0001	100	0.703325	0.70384	0.771789
0.0001	1000	0.6985	0.689138	0.771789
0.0001	10000	0.840035	0.852446	0.840035
0.0001	100000	0.862421	0.882451	0.862421
0.001	1e-005	0.673767	0.649217	0.862421
0.001	0.0001	0.726625	0.716016	0.862421
0.001	0.001	0.729407	0.719531	0.862421
0.001	0.01	0.661334	0.626067	0.862421
0.001	0.1	0.653771	0.615682	0.862421
0.001	1	0.733764	0.73301	0.862421
0.001	10	0.747881	0.753715	0.862421
0.001	100	0.75401	0.757514	0.862421
0.001	1000	0.801782	0.814257	0.862421
0.001	10000	0.881547	0.89868	0.881547
0.001	100000	0.855684	0.87812	0.881547
0.01	1e-005	0.752652	0.792995	0.881547
0.01	0.0001	0.743751	0.784893	0.881547
0.01	0.001	0.686546	0.664447	0.881547
0.01	0.01	0.672245	0.634336	0.881547
0.01	0.1	0.749511	0.773808	0.881547
0.01	1	0.775266	0.820299	0.881547
0.01	10	0.787198	0.814559	0.881547
0.01	100	0.809172	0.818745	0.881547
0.01	1000	0.867855	0.88348	0.881547
0.01	10000	0.867203	0.888075	0.881547
0.01	100000	0.848533	0.874213	0.881547
0.1	1e-005	0.727233	0.752904	0.881547
0.1	0.0001	0.72632	0.751882	0.881547
0.1	0.001	0.708976	0.732468	0.881547
0.1	0.01	0.708976	0.732468	0.881547
0.1	0.1	0.703977	0.776428	0.881547
0.1	1	0.703977	0.776428	0.881547
0.1	10	0.756575	0.795471	0.881547
0.1	100	0.84373	0.866877	0.881547
0.1	1000	0.842643	0.866273	0.881547
0.1	10000	0.82895	0.858122	0.881547
0.1	100000	0.820985	0.851916	0.881547
1	1e-005	0.651163	0.767627	0.881547
1	0.0001	0.649957	0.767378	0.881547
1	0.001	0.627038	0.762656	0.881547
1	0.01	0.627038	0.762656	0.881547
1	0.1	0.635949	0.764184	0.881547
1	1	0.63747	0.763672	0.881547
1	10	0.762823	0.816302	0.881547
1	100	0.819822	0.843909	0.881547
1	1000	0.797001	0.83159	0.881547
1	10000	0.800696	0.835161	0.881547
1	100000	0.803956	0.838003	0.881547
10	1e-005	0.631102	0.751386	0.881547
10	0.0001	0.618779	0.758867	0.881547
10	0.001	0.617474	0.758574	0.881547
10	0.01	0.61617	0.758281	0.881547
10	0.1	0.613084	0.756985	0.881547
10	1	0.665942	0.769185	0.881547
10	10	0.766355	0.803581	0.881547
10	100	0.754749	0.795498	0.881547
10	1000	0.737666	0.783109	0.881547
10	10000	0.746359	0.790372	0.881547
