/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1e-005	0.972061	0.092143	0.972061
0.0001	0.971957	0.0884406	0.972061
0.001	0.972536	0.137318	0.972536
0.01	0.973365	0.250712	0.973365
0.1	0.979268	0.555438	0.979268
1	0.981505	0.664882	0.981505
10	0.975981	0.61321	0.981505
100	0.976508	0.619466	0.981505
1000	0.976363	0.616837	0.981505
10000	0.97596	0.610696	0.981505
100000	0.976201	0.613487	0.981505
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
1e-005	0.97195	0.0868228	0.97195
0.0001	0.972405	0.12134	0.972405
0.001	0.972519	0.202029	0.972519
0.01	0.976909	0.482993	0.976909
0.1	0.982004	0.654771	0.982004
1	0.980059	0.65743	0.982004
10	0.976483	0.616263	0.982004
100	0.976133	0.612178	0.982004
1000	0.976462	0.620918	0.982004
10000	0.976022	0.613117	0.982004
100000	0.975758	0.607835	0.982004
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
1e-005	1e-005	0.906099	0.242396	0.906099
1e-005	0.0001	0.910168	0.245941	0.910168
1e-005	0.001	0.914903	0.259789	0.914903
1e-005	0.01	0.916825	0.277806	0.916825
1e-005	0.1	0.915884	0.265068	0.916825
1e-005	1	0.91426	0.264373	0.916825
1e-005	10	0.915798	0.261326	0.916825
1e-005	100	0.909171	0.253451	0.916825
1e-005	1000	0.90893	0.258546	0.916825
1e-005	10000	0.921213	0.27999	0.921213
1e-005	100000	0.970631	0.567011	0.970631
0.0001	1e-005	0.935396	0.32269	0.970631
0.0001	0.0001	0.935292	0.308407	0.970631
0.0001	0.001	0.93417	0.309833	0.970631
0.0001	0.01	0.935077	0.315892	0.970631
0.0001	0.1	0.933288	0.297822	0.970631
0.0001	1	0.933047	0.306336	0.970631
0.0001	10	0.932083	0.305769	0.970631
0.0001	100	0.933826	0.323193	0.970631
0.0001	1000	0.938336	0.317888	0.970631
0.0001	10000	0.979271	0.63571	0.979271
0.0001	100000	0.97664	0.632878	0.979271
0.001	1e-005	0.951414	0.383693	0.979271
0.001	0.0001	0.951362	0.379559	0.979271
0.001	0.001	0.951549	0.384783	0.979271
0.001	0.01	0.953336	0.394502	0.979271
0.001	0.1	0.950149	0.373357	0.979271
0.001	1	0.951079	0.371586	0.979271
0.001	10	0.951174	0.376348	0.979271
0.001	100	0.952558	0.395915	0.979271
0.001	1000	0.982422	0.683584	0.982422
0.001	10000	0.980262	0.675051	0.982422
0.001	100000	0.977277	0.646593	0.982422
0.01	1e-005	0.965446	0.465578	0.982422
0.01	0.0001	0.965427	0.46269	0.982422
0.01	0.001	0.966429	0.474707	0.982422
0.01	0.01	0.966481	0.476619	0.982422
0.01	0.1	0.966601	0.481634	0.982422
0.01	1	0.966156	0.464888	0.982422
0.01	10	0.967008	0.475297	0.982422
0.01	100	0.983636	0.696872	0.983636
0.01	1000	0.981507	0.689649	0.983636
0.01	10000	0.978525	0.659762	0.983636
0.01	100000	0.977799	0.650047	0.983636
0.1	1e-005	0.975673	0.549889	0.983636
0.1	0.0001	0.975157	0.534064	0.983636
0.1	0.001	0.975742	0.549286	0.983636
0.1	0.01	0.975139	0.53328	0.983636
0.1	0.1	0.975304	0.534209	0.983636
0.1	1	0.975779	0.543105	0.983636
0.1	10	0.984231	0.700421	0.984231
0.1	100	0.982562	0.701807	0.984231
0.1	1000	0.978805	0.660673	0.984231
0.1	10000	0.977878	0.65085	0.984231
0.1	100000	0.978029	0.654489	0.984231
1	1e-005	0.978472	0.534042	0.984231
1	0.0001	0.978539	0.531474	0.984231
1	0.001	0.978375	0.528584	0.984231
1	0.01	0.978574	0.533882	0.984231
1	0.1	0.978534	0.533764	0.984231
1	1	0.98291	0.654134	0.984231
1	10	0.98334	0.706694	0.984231
1	100	0.978169	0.650283	0.984231
1	1000	0.976606	0.634113	0.984231
1	10000	0.97661	0.63496	0.984231
1	100000	0.976574	0.634386	0.984231
10	1e-005	0.975737	0.399448	0.984231
10	0.0001	0.975577	0.398491	0.984231
10	0.001	0.975692	0.402313	0.984231
10	0.01	0.975642	0.399859	0.984231
10	0.1	0.979008	0.523059	0.984231
10	1	0.983571	0.688276	0.984231
10	10	0.978959	0.650143	0.984231
10	100	0.974706	0.606645	0.984231
10	1000	0.974239	0.602935	0.984231
10	10000	0.974165	0.602007	0.984231
10	100000	0.974119	0.60114	0.984231
100	1e-005	0.972725	0.241397	0.984231
100	0.0001	0.972611	0.239051	0.984231
100	0.001	0.972653	0.239682	0.984231
100	0.01	0.973466	0.25372	0.984231
100	0.1	0.979355	0.548619	0.984231
100	1	0.982476	0.672674	0.984231
100	10	0.976118	0.614012	0.984231
