/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.03125	0.81185	0.807115	0.81185
0.0625	0.822714	0.821772	0.822714
0.125	0.828571	0.828816	0.828571
0.25	0.829	0.828829	0.829
0.5	0.819286	0.819157	0.829
1	0.801429	0.801088	0.829
2	0.784429	0.783407	0.829
4	0.768286	0.767355	0.829
8	0.767	0.766232	0.829
16	0.767	0.766232	0.829
32	0.767	0.766232	0.829
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
0.03125	0.826143	0.82552	0.826143
0.0625	0.826	0.825401	0.826143
0.125	0.821714	0.821714	0.826143
0.25	0.812429	0.811702	0.826143
0.5	0.801714	0.800575	0.826143
1	0.790429	0.789557	0.826143
2	0.7834	0.782459	0.826143
4	0.777286	0.776423	0.826143
8	0.774429	0.77362	0.826143
16	0.772714	0.77203	0.826143
32	0.772143	0.771457	0.826143
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
0.03125	0.03125	0.798364	0.789151	0.798364
0.03125	0.0625	0.794064	0.782153	0.798364
0.03125	0.125	0.798371	0.795877	0.798371
0.03125	0.25	0.796029	0.798652	0.798371
0.03125	0.5	0.796179	0.798042	0.798371
0.03125	1	0.798964	0.79229	0.798964
0.03125	2	0.796479	0.789487	0.798964
0.03125	4	0.796586	0.807593	0.798964
0.03125	8	0.811457	0.815344	0.811457
0.03125	16	0.815171	0.814967	0.815171
0.03125	32	0.825357	0.823036	0.825357
0.0625	0.03125	0.806364	0.811116	0.825357
0.0625	0.0625	0.802707	0.797786	0.825357
0.0625	0.125	0.8064	0.796945	0.825357
0.0625	0.25	0.800321	0.798358	0.825357
0.0625	0.5	0.804307	0.805513	0.825357
0.0625	1	0.809786	0.79948	0.825357
0.0625	2	0.806814	0.806055	0.825357
0.0625	4	0.813971	0.812306	0.825357
0.0625	8	0.820143	0.821665	0.825357
0.0625	16	0.826357	0.825474	0.826357
0.0625	32	0.828586	0.829323	0.828586
0.125	0.03125	0.811071	0.809679	0.828586
0.125	0.0625	0.811121	0.813376	0.828586
0.125	0.125	0.809386	0.800153	0.828586
0.125	0.25	0.804229	0.792502	0.828586
0.125	0.5	0.816314	0.81314	0.828586
0.125	1	0.813564	0.810372	0.828586
0.125	2	0.815371	0.808396	0.828586
0.125	4	0.823636	0.819908	0.828586
0.125	8	0.827314	0.82706	0.828586
0.125	16	0.830557	0.829795	0.830557
0.125	32	0.822457	0.823205	0.830557
0.25	0.03125	0.822436	0.818574	0.830557
0.25	0.0625	0.811586	0.801064	0.830557
0.25	0.125	0.821686	0.828125	0.830557
0.25	0.25	0.81425	0.804298	0.830557
