/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.03125	0.813779	0.809925	0.813779
0.0625	0.828857	0.827824	0.828857
0.125	0.837271	0.839829	0.837271
0.25	0.840429	0.843316	0.840429
0.5	0.836143	0.837742	0.840429
1	0.826571	0.827704	0.840429
2	0.803857	0.804109	0.840429
4	0.79	0.78994	0.840429
8	0.788857	0.788495	0.840429
16	0.788857	0.788495	0.840429
32	0.788857	0.788495	0.840429
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
0.03125	0.842571	0.845312	0.842571
0.0625	0.843429	0.845066	0.843429
0.125	0.839714	0.840986	0.843429
0.25	0.83	0.830725	0.843429
0.5	0.820429	0.820557	0.843429
1	0.808143	0.808006	0.843429
2	0.801	0.800858	0.843429
4	0.794857	0.79474	0.843429
8	0.792429	0.792102	0.843429
16	0.789714	0.789233	0.843429
32	0.789143	0.78872	0.843429
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
0.03125	0.03125	0.814171	0.812326	0.814171
0.03125	0.0625	0.806021	0.801334	0.814171
0.03125	0.125	0.803707	0.804484	0.814171
0.03125	0.25	0.81025	0.809788	0.814171
0.03125	0.5	0.811614	0.814157	0.814171
0.03125	1	0.807636	0.806484	0.814171
0.03125	2	0.804786	0.812769	0.814171
0.03125	4	0.808271	0.800075	0.814171
0.03125	8	0.819086	0.820919	0.819086
0.03125	16	0.82835	0.828107	0.82835
0.03125	32	0.837743	0.839359	0.837743
0.0625	0.03125	0.818186	0.81595	0.837743
0.0625	0.0625	0.814257	0.807353	0.837743
0.0625	0.125	0.820843	0.828216	0.837743
0.0625	0.25	0.8147	0.805225	0.837743
0.0625	0.5	0.821121	0.819535	0.837743
0.0625	1	0.820586	0.820901	0.837743
0.0625	2	0.822543	0.820619	0.837743
0.0625	4	0.828357	0.829571	0.837743
0.0625	8	0.832129	0.827683	0.837743
0.0625	16	0.838471	0.84063	0.838471
0.0625	32	0.838	0.838439	0.838471
0.125	0.03125	0.815643	0.803579	0.838471
0.125	0.0625	0.826943	0.83156	0.838471
0.125	0.125	0.820536	0.817361	0.838471
0.125	0.25	0.818657	0.831301	0.838471
0.125	0.5	0.823229	0.822913	0.838471
0.125	1	0.825171	0.821322	0.838471
0.125	2	0.828986	0.829977	0.838471
0.125	4	0.835064	0.83848	0.838471
0.125	8	0.839407	0.841698	0.839407
0.125	16	0.839829	0.84109	0.839829
0.125	32	0.832071	0.833182	0.839829
0.25	0.03125	0.83	0.830313	0.839829
0.25	0.0625	0.8303	0.826014	0.839829
0.25	0.125	0.83045	0.833241	0.839829
0.25	0.25	0.828729	0.833614	0.839829
0.25	0.5	0.833614	0.835258	0.839829
0.25	1	0.823507	0.815087	0.839829
0.25	2	0.8365	0.833744	0.839829
0.25	4	0.839964	0.841363	0.839964
0.25	8	0.8408	0.842134	0.8408
0.25	16	0.837143	0.839119	0.8408
0.25	32	0.82475	0.826251	0.8408
0.5	0.03125	0.831921	0.82736	0.8408
0.5	0.0625	0.829557	0.828345	0.8408
0.5	0.125	0.838571	0.840333	0.8408
0.5	0.25	0.831929	0.82977	0.8408
0.5	0.5	0.832343	0.842008	0.8408
0.5	1	0.835557	0.830441	0.8408
0.5	2	0.843	0.841389	0.843
0.5	4	0.840129	0.841482	0.843
0.5	8	0.837043	0.838041	0.843
0.5	16	0.826714	0.827414	0.843
0.5	32	0.82135	0.821809	0.843
1	0.03125	0.833257	0.839929	0.843
1	0.0625	0.8363	0.835866	0.843
1	0.125	0.834986	0.840352	0.843
1	0.25	0.835671	0.84354	0.843
1	0.5	0.838843	0.835471	0.843
1	1	0.845057	0.850073	0.845057
1	2	0.842629	0.844427	0.845057
1	4	0.840714	0.843455	0.845057
1	8	0.829857	0.832183	0.845057
1	16	0.815443	0.81677	0.845057
1	32	0.8092	0.809526	0.845057
2	0.03125	0.841121	0.839559	0.845057
2	0.0625	0.837157	0.843887	0.845057
2	0.125	0.839279	0.838605	0.845057
2	0.25	0.8337	0.83503	0.845057
2	0.5	0.842064	0.843605	0.845057
2	1	0.842943	0.843911	0.845057
2	2	0.842086	0.843172	0.845057
2	4	0.831229	0.832053	0.845057
2	8	0.822714	0.823546	0.845057
2	16	0.8125	0.813641	0.845057
2	32	0.804571	0.805556	0.845057
4	0.03125	0.833379	0.834656	0.845057
4	0.0625	0.836536	0.834558	0.845057
4	0.125	0.835707	0.830111	0.845057
4	0.25	0.845764	0.849422	0.845764
4	0.5	0.845429	0.847846	0.845764
4	1	0.842843	0.844335	0.845764
4	2	0.835914	0.83774	0.845764
4	4	0.828636	0.830202	0.845764
4	8	0.815643	0.81622	0.845764
4	16	0.805714	0.806763	0.845764
4	32	0.798029	0.798438	0.845764
8	0.03125	0.837993	0.837645	0.845764
8	0.0625	0.8311	0.837923	0.845764
8	0.125	0.842143	0.845517	0.845764
8	0.25	0.844171	0.847154	0.845764
8	0.5	0.844629	0.84771	0.845764
8	1	0.838257	0.840531	0.845764
8	2	0.836179	0.837827	0.845764
8	4	0.825143	0.826727	0.845764
8	8	0.814371	0.814747	0.845764
8	16	0.802036	0.802652	0.845764
8	32	0.799571	0.800171	0.845764
16	0.03125	0.832129	0.831128	0.845764
16	0.0625	0.827357	0.818749	0.845764
16	0.125	0.836314	0.835107	0.845764
16	0.25	0.844657	0.847447	0.845764
16	0.5	0.844029	0.845638	0.845764
16	1	0.841286	0.842203	0.845764
16	2	0.830864	0.831688	0.845764
16	4	0.819229	0.820028	0.845764
16	8	0.803857	0.805055	0.845764
16	16	0.796429	0.797844	0.845764
16	32	0.794114	0.794491	0.845764
32	0.03125	0.833193	0.836144	0.845764
32	0.0625	0.833829	0.834336	0.845764
32	0.125	0.840586	0.84227	0.845764
32	0.25	0.841071	0.844631	0.845764
32	0.5	0.841286	0.843367	0.845764
32	1	0.837943	0.839407	0.845764
32	2	0.828564	0.829356	0.845764
32	4	0.818043	0.819087	0.845764
32	8	0.805714	0.806213	0.845764
32	16	0.798071	0.798812	0.845764
32	32	0.791479	0.792296	0.845764
/******************************************/
/******************************************/
r	 acc	 f1	 max_F1
0.03125	0.8382	0.839455	0.8382
0.0625	0.84145	0.842739	0.84145
0.125	0.840907	0.842885	0.84145
0.25	0.841636	0.84327	0.841636
0.5	0.842643	0.843892	0.842643
1	0.845929	0.846939	0.845929
2	0.847129	0.848723	0.847129
4	0.847986	0.84968	0.847986
8	0.846121	0.848519	0.847986
16	0.8418	0.842375	0.847986
32	0.836686	0.839215	0.847986
/******************************************/

Best PAI_C: 	0.25
Best PAII_C:	0.0625
Best AROW_r=4	 AROW_eta=0.25
Best AROWC_r=4
