/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.03125	0.8995	0.901804	0.8995
0.0625	0.917329	0.917282	0.917329
0.125	0.935893	0.936009	0.935893
0.25	0.945857	0.945954	0.945857
0.5	0.953543	0.953645	0.953543
1	0.95475	0.954809	0.95475
2	0.954643	0.954746	0.95475
4	0.954229	0.954319	0.95475
8	0.954571	0.954662	0.95475
16	0.952107	0.952236	0.95475
32	0.951429	0.951533	0.95475
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
0.03125	0.931586	0.931493	0.931586
0.0625	0.941236	0.941339	0.941236
0.125	0.947857	0.948114	0.947857
0.25	0.952429	0.952553	0.952429
0.5	0.954786	0.954984	0.954786
1	0.955714	0.955727	0.955714
2	0.956036	0.956113	0.956036
4	0.955779	0.955853	0.956036
8	0.953693	0.953743	0.956036
16	0.954786	0.95484	0.956036
32	0.955871	0.955844	0.956036
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
0.03125	0.03125	0.869014	0.859606	0.869014
0.03125	0.0625	0.910879	0.91059	0.910879
0.03125	0.125	0.9286	0.928558	0.9286
0.03125	0.25	0.939571	0.939966	0.939571
0.03125	0.5	0.950771	0.950831	0.950771
0.03125	1	0.952829	0.952955	0.952829
0.03125	2	0.951436	0.951457	0.952829
0.03125	4	0.947529	0.947675	0.952829
0.03125	8	0.946379	0.946326	0.952829
0.03125	16	0.937571	0.937616	0.952829
0.03125	32	0.935571	0.935599	0.952829
0.0625	0.03125	0.892386	0.889716	0.952829
0.0625	0.0625	0.909264	0.907746	0.952829
0.0625	0.125	0.926714	0.926961	0.952829
0.0625	0.25	0.940286	0.940357	0.952829
0.0625	0.5	0.949621	0.949727	0.952829
0.0625	1	0.955393	0.955516	0.955393
0.0625	2	0.954029	0.95411	0.955393
0.0625	4	0.949857	0.949864	0.955393
0.0625	8	0.944286	0.944222	0.955393
0.0625	16	0.940286	0.94032	0.955393
0.0625	32	0.935914	0.93593	0.955393
0.125	0.03125	0.895271	0.893432	0.955393
0.125	0.0625	0.9074	0.906239	0.955393
0.125	0.125	0.928364	0.928932	0.955393
0.125	0.25	0.941457	0.941917	0.955393
0.125	0.5	0.9495	0.949766	0.955393
0.125	1	0.953593	0.953521	0.955393
0.125	2	0.954743	0.954855	0.955393
0.125	4	0.947993	0.948143	0.955393
0.125	8	0.9435	0.94347	0.955393
0.125	16	0.942036	0.942004	0.955393
0.125	32	0.935629	0.935667	0.955393
0.25	0.03125	0.881964	0.876378	0.955393
0.25	0.0625	0.913286	0.912542	0.955393
0.25	0.125	0.930314	0.930565	0.955393
