/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.03125	0.686379	0.712257	0.686379
0.0625	0.699108	0.713042	0.699108
0.125	0.705272	0.709852	0.705272
0.25	0.701814	0.702619	0.705272
0.5	0.692618	0.693328	0.705272
1	0.670993	0.672356	0.705272
2	0.645785	0.646777	0.705272
4	0.631863	0.631754	0.705272
8	0.629097	0.628594	0.705272
16	0.629097	0.628594	0.705272
32	0.62832	0.628738	0.705272
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
0.03125	0.701263	0.705266	0.701263
0.0625	0.696301	0.698087	0.701263
0.125	0.689325	0.689506	0.701263
0.25	0.675403	0.674931	0.701263
0.5	0.663915	0.66445	0.701263
1	0.654205	0.654447	0.701263
2	0.644733	0.644822	0.701263
4	0.633006	0.632767	0.701263
8	0.628796	0.628889	0.701263
16	0.627654	0.627903	0.701263
32	0.627293	0.628057	0.701263
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
0.03125	0.03125	0.663722	0.680552	0.663722
0.03125	0.0625	0.667603	0.67796	0.667603
0.03125	0.125	0.66649	0.674598	0.667603
0.03125	0.25	0.666022	0.678321	0.667603
0.03125	0.5	0.668227	0.67744	0.668227
0.03125	1	0.664852	0.679122	0.668227
0.03125	2	0.664714	0.678935	0.668227
0.03125	4	0.666741	0.678123	0.668227
0.03125	8	0.66972	0.682748	0.66972
0.03125	16	0.682595	0.692139	0.682595
0.03125	32	0.691941	0.699367	0.691941
0.0625	0.03125	0.670733	0.694165	0.691941
0.0625	0.0625	0.673166	0.685447	0.691941
0.0625	0.125	0.671492	0.690479	0.691941
0.0625	0.25	0.672274	0.691908	0.691941
0.0625	0.5	0.673654	0.690647	0.691941
0.0625	1	0.671166	0.689704	0.691941
0.0625	2	0.672038	0.691379	0.691941
0.0625	4	0.6762	0.687415	0.691941
0.0625	8	0.684118	0.697941	0.691941
0.0625	16	0.69477	0.704253	0.69477
0.0625	32	0.697973	0.702292	0.697973
0.125	0.03125	0.679656	0.694439	0.697973
0.125	0.0625	0.67824	0.691379	0.697973
0.125	0.125	0.678824	0.69672	0.697973
0.125	0.25	0.678884	0.694088	0.697973
0.125	0.5	0.679874	0.690789	0.697973
0.125	1	0.678029	0.694141	0.697973
0.125	2	0.682828	0.690202	0.697973
0.125	4	0.68932	0.698447	0.697973
0.125	8	0.696349	0.704289	0.697973
0.125	16	0.69911	0.702842	0.69911
0.125	32	0.694214	0.695691	0.69911
0.25	0.03125	0.686436	0.698989	0.69911
0.25	0.0625	0.686905	0.698827	0.69911
0.25	0.125	0.685289	0.704742	0.69911
0.25	0.25	0.687221	0.700929	0.69911
0.25	0.5	0.685351	0.697583	0.69911
0.25	1	0.687155	0.699571	0.69911
0.25	2	0.691796	0.702859	0.69911
0.25	4	0.698364	0.704628	0.69911
0.25	8	0.699927	0.704309	0.699927
0.25	16	0.695602	0.697548	0.699927
0.25	32	0.68496	0.685642	0.699927
0.5	0.03125	0.691172	0.708363	0.699927
0.5	0.0625	0.69116	0.707201	0.699927
0.5	0.125	0.690518	0.709822	0.699927
0.5	0.25	0.69246	0.706588	0.699927
0.5	0.5	0.693031	0.707118	0.699927
0.5	1	0.696422	0.708832	0.699927
0.5	2	0.701268	0.709411	0.701268
0.5	4	0.701205	0.706194	0.701268
0.5	8	0.697184	0.699467	0.701268
0.5	16	0.687218	0.688019	0.701268
0.5	32	0.674263	0.674908	0.701268
1	0.03125	0.69655	0.713306	0.701268
1	0.0625	0.695079	0.715737	0.701268
1	0.125	0.695004	0.717092	0.701268
1	0.25	0.695074	0.715502	0.701268
1	0.5	0.696945	0.713381	0.701268
1	1	0.702608	0.716495	0.702608
1	2	0.703673	0.708578	0.703673
1	4	0.698642	0.701023	0.703673
1	8	0.688927	0.68996	0.703673
1	16	0.675529	0.676195	0.703673
1	32	0.660502	0.661011	0.703673
2	0.03125	0.698096	0.719909	0.703673
2	0.0625	0.698855	0.719316	0.703673
2	0.125	0.698191	0.719569	0.703673
2	0.25	0.699677	0.720509	0.703673
2	0.5	0.703839	0.718308	0.703839
2	1	0.704796	0.712459	0.704796
2	2	0.700258	0.70273	0.704796
2	4	0.691049	0.692221	0.704796
2	8	0.678195	0.678858	0.704796
2	16	0.663215	0.663533	0.704796
2	32	0.651223	0.651597	0.704796
4	0.03125	0.7011	0.723906	0.704796
4	0.0625	0.7011	0.721937	0.704796
