/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.03125	0.795285	0.79995	0.795285
0.0625	0.798982	0.804253	0.798982
0.125	0.798646	0.803929	0.798982
0.25	0.795969	0.801633	0.798982
0.5	0.787175	0.792466	0.798982
1	0.770181	0.775958	0.798982
2	0.750371	0.756998	0.798982
4	0.733722	0.74084	0.798982
8	0.732339	0.739444	0.798982
16	0.730644	0.737306	0.798982
32	0.729918	0.73639	0.798982
/******************************************/
/******************************************/
PAII_C	 Acc	 F1	 Max_F1 
0.03125	0.798587	0.803148	0.798587
0.0625	0.795697	0.800481	0.798587
0.125	0.788509	0.793438	0.798587
0.25	0.779123	0.784333	0.798587
0.5	0.767138	0.772549	0.798587
1	0.754076	0.760212	0.798587
2	0.74632	0.752494	0.798587
4	0.73969	0.745891	0.798587
8	0.736044	0.742394	0.798587
16	0.73387	0.740248	0.798587
32	0.737736	0.744165	0.798587
/******************************************/
/******************************************/
r	 eta	 acc	 f1	 max_F1
0.03125	0.03125	0.762659	0.768617	0.762659
0.03125	0.0625	0.763329	0.768219	0.763329
0.03125	0.125	0.763119	0.76821	0.763329
0.03125	0.25	0.765428	0.771733	0.765428
0.03125	0.5	0.762516	0.76828	0.765428
0.03125	1	0.762741	0.76689	0.765428
0.03125	2	0.764094	0.77062	0.765428
0.03125	4	0.763783	0.767754	0.765428
0.03125	8	0.768066	0.772928	0.768066
0.03125	16	0.780857	0.785366	0.780857
0.03125	32	0.7886	0.793934	0.7886
0.0625	0.03125	0.770576	0.776276	0.7886
0.0625	0.0625	0.77028	0.774687	0.7886
0.0625	0.125	0.770776	0.777458	0.7886
0.0625	0.25	0.769198	0.774752	0.7886
0.0625	0.5	0.769931	0.775504	0.7886
0.0625	1	0.771505	0.775668	0.7886
0.0625	2	0.769336	0.772336	0.7886
0.0625	4	0.774079	0.779049	0.7886
0.0625	8	0.784293	0.789085	0.7886
0.0625	16	0.791036	0.796545	0.791036
0.0625	32	0.79211	0.797336	0.79211
0.125	0.03125	0.777468	0.782746	0.79211
0.125	0.0625	0.778315	0.783274	0.79211
0.125	0.125	0.778144	0.781743	0.79211
0.125	0.25	0.776966	0.781581	0.79211
0.125	0.5	0.777668	0.782678	0.79211
0.125	1	0.77789	0.783845	0.79211
0.125	2	0.778708	0.783641	0.79211
0.125	4	0.787879	0.7924	0.79211
0.125	8	0.793943	0.798355	0.793943
0.125	16	0.793405	0.798822	0.793943
0.125	32	0.788062	0.793647	0.793943
0.25	0.03125	0.784302	0.788652	0.793943
0.25	0.0625	0.78268	0.787135	0.793943
0.25	0.125	0.783794	0.787358	0.793943
0.25	0.25	0.784043	0.789167	0.793943
0.25	0.5	0.784209	0.788228	0.793943
0.25	1	0.786488	0.791718	0.793943
0.25	2	0.790893	0.796892	0.793943
0.25	4	0.795309	0.8002	0.795309
0.25	8	0.794946	0.800311	0.795309
0.25	16	0.789542	0.79529	0.795309
0.25	32	0.780338	0.78601	0.795309
0.5	0.03125	0.789648	0.795212	0.795309
0.5	0.0625	0.789939	0.793018	0.795309
0.5	0.125	0.789823	0.793871	0.795309
0.5	0.25	0.789339	0.793704	0.795309
0.5	0.5	0.792066	0.796734	0.795309
0.5	1	0.79401	0.797765	0.795309
0.5	2	0.797355	0.801566	0.797355
0.5	4	0.796522	0.801945	0.797355
0.5	8	0.790809	0.796355	0.797355
0.5	16	0.781482	0.787072	0.797355
0.5	32	0.770136	0.776129	0.797355
1	0.03125	0.793788	0.797455	0.797355
1	0.0625	0.793701	0.798675	0.797355
1	0.125	0.794205	0.79858	0.797355
1	0.25	0.794336	0.797876	0.797355
1	0.5	0.796952	0.800325	0.797355
1	1	0.798278	0.802973	0.798278
1	2	0.797545	0.802552	0.798278
1	4	0.793027	0.798337	0.798278
1	8	0.784152	0.789834	0.798278
1	16	0.772243	0.777988	0.798278
1	32	0.760565	0.766571	0.798278
2	0.03125	0.796404	0.799459	0.798278
2	0.0625	0.796031	0.798839	0.798278
2	0.125	0.796196	0.800293	0.798278
2	0.25	0.798491	0.801595	0.798491
2	0.5	0.800015	0.804503	0.800015
2	1	0.799585	0.804448	0.800015
2	2	0.795364	0.800828	0.800015
2	4	0.786177	0.791712	0.800015
2	8	0.774565	0.780373	0.800015
2	16	0.761987	0.767937	0.800015
2	32	0.752873	0.758904	0.800015
4	0.03125	0.797194	0.800903	0.800015
4	0.0625	0.797574	0.801475	0.800015
4	0.125	0.799054	0.803805	0.800015
4	0.25	0.800269	0.80417	0.800269
4	0.5	0.800479	0.805269	0.800479
4	1	0.797179	0.802404	0.800479
4	2	0.790189	0.795721	0.800479
4	4	0.777979	0.783603	0.800479
4	8	0.765458	0.771312	0.800479
4	16	0.75516	0.761199	0.800479
4	32	0.746912	0.753145	0.800479
8	0.03125	0.797434	0.801198	0.800479
8	0.0625	0.798471	0.801826	0.800479
8	0.125	0.800408	0.803906	0.800479
8	0.25	0.80127	0.805913	0.80127
8	0.5	0.799637	0.804769	0.80127
8	1	0.793644	0.798919	0.80127
8	2	0.783482	0.789093	0.80127
8	4	0.770919	0.776804	0.80127
8	8	0.758858	0.764963	0.80127
8	16	0.749578	0.75584	0.80127
8	32	0.743326	0.749712	0.80127
16	0.03125	0.796878	0.800582	0.80127
16	0.0625	0.79893	0.802954	0.80127
16	0.125	0.800175	0.804028	0.80127
16	0.25	0.800751	0.805718	0.80127
16	0.5	0.79771	0.802982	0.80127
16	1	0.789801	0.795318	0.80127
16	2	0.778107	0.783977	0.80127
16	4	0.765646	0.771642	0.80127
16	8	0.753878	0.759906	0.80127
16	16	0.745601	0.751924	0.80127
16	32	0.742113	0.748648	0.80127
32	0.03125	0.796455	0.799311	0.80127
32	0.0625	0.798666	0.801666	0.80127
32	0.125	0.800496	0.80477	0.80127
32	0.25	0.799592	0.804625	0.80127
32	0.5	0.795354	0.800604	0.80127
32	1	0.786422	0.792088	0.80127
32	2	0.773624	0.779243	0.80127
32	4	0.760787	0.766569	0.80127
32	8	0.750632	0.756896	0.80127
32	16	0.744652	0.750964	0.80127
32	32	0.740283	0.746597	0.80127
/******************************************/
/******************************************/
r	 acc	 f1	 max_F1
0.03125	0.794067	0.799233	0.794067
0.0625	0.795119	0.800333	0.795119
0.125	0.795702	0.800802	0.795702
0.25	0.797248	0.802354	0.797248
0.5	0.798533	0.803454	0.798533
1	0.799224	0.80429	0.799224
2	0.800514	0.805172	0.800514
4	0.800973	0.805437	0.800973
8	0.801223	0.805296	0.801223
16	0.801322	0.805342	0.801322
32	0.799731	0.803649	0.801322
/******************************************/

Best PAI_C: 	0.0625
Best PAII_C:	0.03125
Best AROW_r=8	 AROW_eta=0.25
Best AROWC_r=16
