/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.990805	0	0.990805
0.0625	0.9908	0	0.990805
0.125	0.990814	0	0.990814
0.25	0.990804	0	0.990814
0.5	0.990784	0.00482284	0.990814
1	0.990083	0.0728041	0.990814
2	0.987212	0.127376	0.990814
4	0.98475	0.135677	0.990814
8	0.98484	0.149055	0.990814
16	0.984669	0.140361	0.990814
32	0.984567	0.126383	0.990814
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.990795	0.00400552	0.990795
0.0625	0.990787	0.0129894	0.990795
0.125	0.990564	0.0207876	0.990795
0.25	0.99011	0.063527	0.990795
0.5	0.989032	0.0893511	0.990795
1	0.987973	0.119329	0.990795
2	0.986582	0.120924	0.990795
4	0.98577	0.134201	0.990795
8	0.985234	0.136583	0.990795
16	0.984885	0.13119	0.990795
32	0.98473	0.129052	0.990795
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.990686	6.72043e-05	0.990686
0.03125	0.0625	0.990731	0.000136893	0.990731
0.03125	0.125	0.990668	0	0.990731
0.03125	0.25	0.990778	0.000137836	0.990778
0.03125	0.5	0.990471	0	0.990778
0.03125	1	0.990783	0	0.990783
0.03125	2	0.990728	0	0.990783
0.03125	4	0.990796	0	0.990796
0.03125	8	0.990795	0	0.990796
0.03125	16	0.990799	0	0.990799
0.03125	32	0.9908	0	0.9908
0.0625	0.03125	0.990785	0	0.9908
0.0625	0.0625	0.990778	0	0.9908
0.0625	0.125	0.990783	0	0.9908
0.0625	0.25	0.99079	0	0.9908
0.0625	0.5	0.99078	0	0.9908
0.0625	1	0.990772	0	0.9908
0.0625	2	0.990798	0	0.9908
0.0625	4	0.990807	0	0.990807
0.0625	8	0.990812	0	0.990812
0.0625	16	0.9908	0	0.990812
0.0625	32	0.990796	0	0.990812
0.125	0.03125	0.990798	0	0.990812
0.125	0.0625	0.990795	0	0.990812
0.125	0.125	0.990805	0	0.990812
0.125	0.25	0.990792	0.000137646	0.990812
0.125	0.5	0.990797	0	0.990812
0.125	1	0.990795	0	0.990812
0.125	2	0.990813	0	0.990813
0.125	4	0.990809	0	0.990813
0.125	8	0.990809	0	0.990813
0.125	16	0.990813	0.00138749	0.990813
0.125	32	0.99074	0.000413793	0.990813
0.25	0.03125	0.990806	0	0.990813
0.25	0.0625	0.990803	0	0.990813
0.25	0.125	0.990804	0	0.990813
0.25	0.25	0.990808	0	0.990813
0.25	0.5	0.99081	0	0.990813
0.25	1	0.990806	0	0.990813
0.25	2	0.990809	0	0.990813
0.25	4	0.990812	0	0.990813
0.25	8	0.99081	0	0.990813
0.25	16	0.990762	0.000965517	0.990813
0.25	32	0.990682	0.00941493	0.990813
0.5	0.03125	0.990809	0	0.990813
0.5	0.0625	0.990806	6.92042e-05	0.990813
0.5	0.125	0.990812	0	0.990813
0.5	0.25	0.990807	0	0.990813
0.5	0.5	0.990809	0	0.990813
0.5	1	0.990806	0	0.990813
0.5	2	0.990811	0	0.990813
0.5	4	0.990809	0	0.990813
0.5	8	0.990794	0.00138471	0.990813
0.5	16	0.990702	0.0054616	0.990813
0.5	32	0.990501	0.0262358	0.990813
1	0.03125	0.990807	0	0.990813
1	0.0625	0.990812	0	0.990813
1	0.125	0.990808	0	0.990813
1	0.25	0.990803	0	0.990813
1	0.5	0.990803	0	0.990813
1	1	0.990814	0	0.990814
1	2	0.990807	0	0.990814
1	4	0.990806	0	0.990814
1	8	0.990764	0.00501846	0.990814
1	16	0.990605	0.0196356	0.990814
1	32	0.990253	0.0403765	0.990814
2	0.03125	0.990808	0	0.990814
2	0.0625	0.990806	0	0.990814
2	0.125	0.990809	0	0.990814
2	0.25	0.990816	0	0.990816
2	0.5	0.990811	0	0.990816
2	1	0.990813	0	0.990816
2	2	0.990809	0.000554785	0.990816
2	4	0.990768	0.00234321	0.990816
2	8	0.990683	0.0101663	0.990816
2	16	0.990369	0.0339329	0.990816
2	32	0.989788	0.0736683	0.990816
4	0.03125	0.990805	0	0.990816
4	0.0625	0.990806	0	0.990816
4	0.125	0.990809	0	0.990816
4	0.25	0.990808	0	0.990816
4	0.5	0.990806	0	0.990816
4	1	0.990812	0	0.990816
4	2	0.990799	0.00103878	0.990816
4	4	0.990726	0.00322383	0.990816
4	8	0.990543	0.0201044	0.990816
4	16	0.989932	0.0578106	0.990816
4	32	0.98901	0.102666	0.990816
8	0.03125	0.990809	0	0.990816
8	0.0625	0.990809	0	0.990816
8	0.125	0.990809	0	0.990816
8	0.25	0.990805	0	0.990816
8	0.5	0.990809	0	0.990816
8	1	0.990809	0	0.990816
8	2	0.990792	0.0015917	0.990816
8	4	0.990659	0.0174549	0.990816
8	8	0.990244	0.0428795	0.990816
8	16	0.989287	0.0872125	0.990816
8	32	0.987702	0.120171	0.990816
