/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.605705	0.00214518	0.605705
0.0625	0.610302	0.0375738	0.610302
0.125	0.632906	0.282803	0.632906
0.25	0.642252	0.421644	0.642252
0.5	0.637687	0.489746	0.642252
1	0.640078	0.526857	0.642252
2	0.614214	0.510345	0.642252
4	0.607911	0.505211	0.642252
8	0.607694	0.505344	0.642252
16	0.607694	0.505344	0.642252
32	0.607694	0.505344	0.642252
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.649207	0.412236	0.649207
0.0625	0.650511	0.473822	0.650511
0.125	0.648337	0.505199	0.650511
0.25	0.644208	0.522601	0.650511
0.5	0.636166	0.525779	0.650511
1	0.624429	0.52	0.650511
2	0.616605	0.512976	0.650511
4	0.611606	0.508661	0.650511
8	0.609433	0.506725	0.650511
16	0.609215	0.507127	0.650511
32	0.607911	0.505482	0.650511
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.677309	0.394278	0.677309
0.03125	0.0625	0.658531	0.312092	0.677309
0.03125	0.125	0.666942	0.375456	0.677309
0.03125	0.25	0.724582	0.634449	0.724582
0.03125	0.5	0.658292	0.571829	0.724582
0.03125	1	0.739122	0.644811	0.739122
0.03125	2	0.655358	0.300126	0.739122
0.03125	4	0.674549	0.387142	0.739122
0.03125	8	0.728081	0.605503	0.739122
0.03125	16	0.703858	0.522614	0.739122
0.03125	32	0.7594	0.671221	0.7594
0.0625	0.03125	0.687296	0.625014	0.7594
0.0625	0.0625	0.646359	0.251412	0.7594
0.0625	0.125	0.664595	0.355626	0.7594
0.0625	0.25	0.680243	0.556289	0.7594
0.0625	0.5	0.713084	0.544036	0.7594
0.0625	1	0.753586	0.670542	0.7594
0.0625	2	0.736492	0.642164	0.7594
0.0625	4	0.705586	0.523117	0.7594
0.0625	8	0.587796	0.647476	0.7594
0.0625	16	0.775179	0.710916	0.775179
0.0625	32	0.758835	0.649633	0.775179
0.125	0.03125	0.655162	0.297755	0.775179
0.125	0.0625	0.648511	0.260673	0.775179
0.125	0.125	0.702956	0.557801	0.775179
0.125	0.25	0.649641	0.251361	0.775179
0.125	0.5	0.65213	0.304524	0.775179
0.125	1	0.641393	0.216997	0.775179
0.125	2	0.666975	0.372535	0.775179
0.125	4	0.69398	0.512818	0.775179
0.125	8	0.689046	0.456471	0.775179
0.125	16	0.744968	0.631367	0.775179
0.125	32	0.814986	0.763064	0.814986
0.25	0.03125	0.696479	0.545707	0.814986
0.25	0.0625	0.674158	0.441705	0.814986
0.25	0.125	0.638579	0.204784	0.814986
0.25	0.25	0.625266	0.115098	0.814986
0.25	0.5	0.637383	0.432951	0.814986
0.25	1	0.671691	0.690777	0.814986
0.25	2	0.631906	0.170983	0.814986
0.25	4	0.733884	0.686222	0.814986
0.25	8	0.711802	0.538943	0.814986
0.25	16	0.764312	0.661977	0.814986
0.25	32	0.829863	0.795908	0.829863
0.5	0.03125	0.647185	0.315929	0.829863
0.5	0.0625	0.642241	0.234618	0.829863
0.5	0.125	0.633167	0.166684	0.829863
0.5	0.25	0.642176	0.230211	0.829863
0.5	0.5	0.649076	0.280069	0.829863
0.5	1	0.644697	0.249687	0.829863
0.5	2	0.651945	0.612612	0.829863
0.5	4	0.692958	0.495994	0.829863
0.5	8	0.731461	0.599412	0.829863
0.5	16	0.782156	0.704244	0.829863
0.5	32	0.810302	0.773674	0.829863
1	0.03125	0.64386	0.262678	0.829863
1	0.0625	0.629244	0.150244	0.829863
1	0.125	0.661019	0.358381	0.829863
1	0.25	0.646968	0.267635	0.829863
1	0.5	0.641035	0.239763	0.829863
1	1	0.63008	0.151917	0.829863
1	2	0.670941	0.395636	0.829863
1	4	0.703977	0.525505	0.829863
1	8	0.752347	0.645035	0.829863
1	16	0.795131	0.737446	0.829863
1	32	0.807868	0.774605	0.829863
2	0.03125	0.628276	0.14272	0.829863
2	0.0625	0.634971	0.185544	0.829863
2	0.125	0.617496	0.0690557	0.829863
2	0.25	0.62419	0.118434	0.829863
2	0.5	0.656694	0.348702	0.829863
2	1	0.67907	0.51612	0.829863
2	2	0.680613	0.443731	0.829863
2	4	0.71191	0.545515	0.829863
2	8	0.76842	0.684512	0.829863
2	16	0.790317	0.737361	0.829863
2	32	0.797435	0.75892	0.829863
4	0.03125	0.64236	0.290378	0.829863
4	0.0625	0.613758	0.0437041	0.829863
4	0.125	0.617757	0.0724	0.829863
4	0.25	0.609987	0.0248088	0.829863
4	0.5	0.655466	0.368389	0.829863
4	1	0.668474	0.413936	0.829863
4	2	0.686373	0.475439	0.829863
4	4	0.730319	0.597508	0.829863
4	8	0.764725	0.690592	0.829863
4	16	0.786373	0.741314	0.829863
4	32	0.784503	0.742298	0.829863
8	0.03125	0.613997	0.0520967	0.829863
8	0.0625	0.610726	0.0329407	0.829863
8	0.125	0.616996	0.0687293	0.829863
8	0.25	0.616214	0.0601603	0.829863
8	0.5	0.645512	0.270429	0.829863
8	1	0.669659	0.410722	0.829863
8	2	0.69774	0.527514	0.829863
8	4	0.731493	0.612809	0.829863
8	8	0.760965	0.698116	0.829863
8	16	0.766572	0.719436	0.829863
8	32	0.766138	0.715795	0.829863
16	0.03125	0.606173	0.00928934	0.829863
16	0.0625	0.610356	0.0277836	0.829863
16	0.125	0.608216	0.0142143	0.829863
16	0.25	0.627255	0.17527	0.829863
16	0.5	0.655597	0.359773	0.829863
16	1	0.672723	0.432668	0.829863
16	2	0.693675	0.515547	0.829863
16	4	0.732754	0.631629	0.829863
16	8	0.748207	0.679884	0.829863
16	16	0.748696	0.68569	0.829863
16	32	0.754401	0.694924	0.829863
32	0.03125	0.605738	0	0.829863
32	0.0625	0.605738	0	0.829863
32	0.125	0.610411	0.0318656	0.829863
32	0.25	0.638155	0.227437	0.829863
32	0.5	0.655151	0.343378	0.829863
32	1	0.670072	0.426936	0.829863
32	2	0.699739	0.544361	0.829863
32	4	0.723973	0.633009	0.829863
32	8	0.735601	0.66792	0.829863
32	16	0.732884	0.664116	0.829863
32	32	0.733101	0.667929	0.829863
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.74812	0.623955	0.74812
0.0625	0.75652	0.649545	0.75652
0.125	0.766953	0.675475	0.766953
0.25	0.753782	0.648078	0.766953
0.5	0.757498	0.655416	0.766953
1	0.761041	0.663631	0.766953
2	0.759683	0.661258	0.766953
4	0.750467	0.634798	0.766953
8	0.757118	0.650158	0.766953
16	0.755988	0.646894	0.766953
32	0.757314	0.649587	0.766953
/******************************************/

Best PAI_C: 	0.25
Best PAII_C:	0.0625
Best AROW_r=0.25	 AROW_eta=32
Best AROWC_r=0.125
