/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.96325	0	0.96325
0.0625	0.96325	0	0.96325
0.125	0.96375	0.0268456	0.96375
0.25	0.9676	0.232227	0.9676
0.5	0.9724	0.468208	0.9724
1	0.9718	0.533884	0.9724
2	0.967662	0.521659	0.9724
4	0.9675	0.525547	0.9724
8	0.96745	0.525164	0.9724
16	0.96745	0.525164	0.9724
32	0.96745	0.525164	0.9724
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.96685	0.18047	0.96685
0.0625	0.96955	0.327072	0.96955
0.125	0.97235	0.446446	0.97235
0.25	0.97375	0.524025	0.97375
0.5	0.97223	0.528204	0.97375
1	0.9697	0.518283	0.97375
2	0.968	0.509954	0.97375
4	0.9672	0.508982	0.97375
8	0.96655	0.510607	0.97375
16	0.96615	0.508351	0.97375
32	0.9659	0.507225	0.97375
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.96325	0	0.96325
0.03125	0.0625	0.96325	0	0.96325
0.03125	0.125	0.96325	0	0.96325
0.03125	0.25	0.96325	0.00217096	0.96325
0.03125	0.5	0.96325	0.000542741	0.96325
0.03125	1	0.96325	0	0.96325
0.03125	2	0.96325	0	0.96325
0.03125	4	0.96325	0	0.96325
0.03125	8	0.96325	0	0.96325
0.03125	16	0.9699	0.308046	0.9699
0.03125	32	0.97795	0.599455	0.97795
0.0625	0.03125	0.96325	0	0.97795
0.0625	0.0625	0.96325	0	0.97795
0.0625	0.125	0.96325	0	0.97795
0.0625	0.25	0.96325	0	0.97795
0.0625	0.5	0.96325	0	0.97795
0.0625	1	0.96325	0	0.97795
0.0625	2	0.96325	0	0.97795
0.0625	4	0.96325	0	0.97795
0.0625	8	0.9675	0.207317	0.97795
0.0625	16	0.9772	0.565714	0.97795
0.0625	32	0.981783	0.702045	0.981783
0.125	0.03125	0.963248	0.000135501	0.981783
0.125	0.0625	0.963203	0.00257453	0.981783
0.125	0.125	0.96325	0	0.981783
0.125	0.25	0.96325	0	0.981783
0.125	0.5	0.963248	0.000135501	0.981783
0.125	1	0.9632	0.00271003	0.981783
0.125	2	0.963237	0.000677507	0.981783
0.125	4	0.969	0.270588	0.981783
0.125	8	0.97725	0.569536	0.981783
0.125	16	0.98115	0.681857	0.981783
0.125	32	0.9821	0.717666	0.9821
0.25	0.03125	0.96325	0	0.9821
