/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.706086	0.392274	0.706086
0.0625	0.714669	0.438954	0.714669
0.125	0.716456	0.459998	0.716456
0.25	0.716009	0.487964	0.716456
0.5	0.699632	0.495897	0.716456
1	0.67082	0.490769	0.716456
2	0.632913	0.468888	0.716456
4	0.61714	0.455592	0.716456
8	0.616719	0.454913	0.716456
16	0.616719	0.454913	0.716456
32	0.616719	0.454913	0.716456
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.715116	0.47072	0.715116
0.0625	0.712461	0.484203	0.715116
0.125	0.701472	0.490122	0.715116
0.25	0.679706	0.484602	0.715116
0.5	0.657361	0.476504	0.715116
1	0.63633	0.46739	0.715116
2	0.626761	0.462319	0.715116
4	0.621924	0.458794	0.715116
8	0.622834	0.460073	0.715116
16	0.622345	0.459722	0.715116
32	0.621924	0.459608	0.715116
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.728023	0.594306	0.728023
0.03125	0.0625	0.715484	0.490621	0.728023
0.03125	0.125	0.702944	0.386936	0.728023
0.03125	0.25	0.714474	0.446355	0.728023
0.03125	0.5	0.741377	0.585	0.741377
0.03125	1	0.739595	0.57776	0.741377
0.03125	2	0.723554	0.512607	0.741377
0.03125	4	0.723502	0.512378	0.741377
0.03125	8	0.72011	0.44111	0.741377
0.03125	16	0.733807	0.48109	0.741377
0.03125	32	0.747108	0.532738	0.747108
0.0625	0.03125	0.698147	0.341697	0.747108
0.0625	0.0625	0.697529	0.338508	0.747108
0.0625	0.125	0.716338	0.47053	0.747108
0.0625	0.25	0.722608	0.514538	0.747108
0.0625	0.5	0.714251	0.459188	0.747108
0.0625	1	0.707413	0.413902	0.747108
0.0625	2	0.710736	0.426503	0.747108
0.0625	4	0.71714	0.443985	0.747108
0.0625	8	0.725815	0.456261	0.747108
0.0625	16	0.74041	0.515498	0.747108
0.0625	32	0.755783	0.579904	0.755783
0.125	0.03125	0.704732	0.41095	0.755783
0.125	0.0625	0.701656	0.335101	0.755783
0.125	0.125	0.700631	0.309818	0.755783
0.125	0.25	0.712839	0.396234	0.755783
0.125	0.5	0.720978	0.453844	0.755783
0.125	1	0.710573	0.388171	0.755783
0.125	2	0.697266	0.295744	0.755783
0.125	4	0.700053	0.296461	0.755783
0.125	8	0.726548	0.435743	0.755783
0.125	16	0.743113	0.51325	0.755783
0.125	32	0.757203	0.570738	0.757203
0.25	0.03125	0.720068	0.461882	0.757203
0.25	0.0625	0.724027	0.486851	0.757203
0.25	0.125	0.702655	0.404244	0.757203
0.25	0.25	0.695531	0.376709	0.757203
0.25	0.5	0.687277	0.325782	0.757203
0.25	1	0.678707	0.261511	0.757203
0.25	2	0.69285	0.295975	0.757203
0.25	4	0.726088	0.465236	0.757203
0.25	8	0.738591	0.516719	0.757203
0.25	16	0.749422	0.550208	0.757203
0.25	32	0.759269	0.584791	0.759269
0.5	0.03125	0.698265	0.351306	0.759269
0.5	0.0625	0.70235	0.372863	0.759269
0.5	0.125	0.709937	0.412898	0.759269
0.5	0.25	0.707829	0.400182	0.759269
0.5	0.5	0.702261	0.366342	0.759269
0.5	1	0.709411	0.382941	0.759269
0.5	2	0.723475	0.458783	0.759269
0.5	4	0.730967	0.497595	0.759269
0.5	8	0.739905	0.52483	0.759269
0.5	16	0.750237	0.558766	0.759269
0.5	32	0.760515	0.590562	0.760515
1	0.03125	0.719979	0.472569	0.760515
1	0.0625	0.693757	0.339089	0.760515
1	0.125	0.684963	0.294395	0.760515
1	0.25	0.685683	0.272963	0.760515
1	0.5	0.691693	0.270102	0.760515
1	1	0.714932	0.408337	0.760515
1	2	0.727511	0.486821	0.760515
1	4	0.731756	0.498624	0.760515
1	8	0.738696	0.518037	0.760515
1	16	0.750484	0.557689	0.760515
1	32	0.755836	0.583199	0.760515
2	0.03125	0.691509	0.313773	0.760515
2	0.0625	0.688906	0.277092	0.760515
2	0.125	0.687802	0.267095	0.760515
2	0.25	0.694742	0.29022	0.760515
2	0.5	0.708254	0.366914	0.760515
2	1	0.720868	0.448649	0.760515
2	2	0.727234	0.487453	0.760515
2	4	0.734017	0.505135	0.760515
2	8	0.742797	0.534006	0.760515
2	16	0.7504	0.559609	0.760515
2	32	0.757571	0.588193	0.760515
4	0.03125	0.706099	0.418919	0.760515
4	0.0625	0.701788	0.390699	0.760515
4	0.125	0.70205	0.385158	0.760515
4	0.25	0.707074	0.383084	0.760515
4	0.5	0.714248	0.414395	0.760515
4	1	0.720505	0.455663	0.760515
4	2	0.725917	0.479637	0.760515
4	4	0.731651	0.497143	0.760515
4	8	0.740589	0.528118	0.760515
4	16	0.747022	0.55663	0.760515
4	32	0.751052	0.578624	0.760515
8	0.03125	0.692277	0.326207	0.760515
8	0.0625	0.693165	0.321395	0.760515
8	0.125	0.703049	0.356573	0.760515
8	0.25	0.713123	0.41794	0.760515
8	0.5	0.721136	0.463375	0.760515
8	1	0.724658	0.479785	0.760515
8	2	0.727813	0.488906	0.760515
8	4	0.732177	0.50137	0.760515
8	8	0.739642	0.53026	0.760515
8	16	0.745163	0.561	0.760515
8	32	0.741448	0.571835	0.760515
16	0.03125	0.68633	0.251255	0.760515
16	0.0625	0.692587	0.283544	0.760515
16	0.125	0.704805	0.362985	0.760515
16	0.25	0.715405	0.437961	0.760515
16	0.5	0.720084	0.46309	0.760515
16	1	0.724437	0.477925	0.760515
16	2	0.729653	0.498439	0.760515
16	4	0.731809	0.512473	0.760515
16	8	0.737329	0.540565	0.760515
16	16	0.739748	0.563723	0.760515
16	32	0.730074	0.567116	0.760515
32	0.03125	0.684645	0.248896	0.760515
32	0.0625	0.700841	0.343259	0.760515
32	0.125	0.711651	0.413165	0.760515
32	0.25	0.718717	0.457953	0.760515
32	0.5	0.722976	0.474414	0.760515
32	1	0.724758	0.482529	0.760515
32	2	0.724921	0.488963	0.760515
32	4	0.727603	0.505677	0.760515
32	8	0.726709	0.523382	0.760515
32	16	0.72847	0.549285	0.760515
32	32	0.715825	0.549771	0.760515
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.733333	0.512683	0.733333
0.0625	0.733021	0.505017	0.733333
0.125	0.732965	0.503665	0.733333
0.25	0.734196	0.510249	0.734196
0.5	0.735016	0.514638	0.735016
1	0.73378	0.509487	0.735016
2	0.732545	0.504336	0.735016
4	0.732713	0.504416	0.735016
8	0.732965	0.504536	0.735016
16	0.732989	0.505005	0.735016
32	0.733123	0.507662	0.735016
