/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.899822	0	0.899822
0.0625	0.90427	0.0912162	0.90427
0.125	0.928114	0.476684	0.928114
0.25	0.94573	0.663727	0.94573
0.5	0.953559	0.742857	0.953559
1	0.954982	0.761546	0.954982
2	0.951957	0.753199	0.954982
4	0.948399	0.735401	0.954982
8	0.948399	0.735401	0.954982
16	0.948399	0.735401	0.954982
32	0.948399	0.735401	0.954982
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.935961	0.562697	0.935961
0.0625	0.948043	0.680525	0.948043
0.125	0.95089	0.714876	0.95089
0.25	0.955694	0.758017	0.955694
0.5	0.95694	0.772128	0.95694
1	0.95516	0.764925	0.95694
2	0.953737	0.759704	0.95694
4	0.952669	0.754613	0.95694
8	0.951779	0.75023	0.95694
16	0.95089	0.747253	0.95694
32	0.950534	0.745887	0.95694
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.911219	0.214529	0.911219
0.03125	0.0625	0.903986	0.0866992	0.911219
0.03125	0.125	0.907874	0.164038	0.911219
0.03125	0.25	0.914413	0.256543	0.914413
0.03125	0.5	0.91702	0.274206	0.91702
0.03125	1	0.934582	0.530001	0.934582
0.03125	2	0.925614	0.430154	0.934582
0.03125	4	0.910463	0.198286	0.934582
0.03125	8	0.90073	0.0170758	0.934582
0.03125	16	0.940374	0.58621	0.940374
0.03125	32	0.968683	0.83174	0.968683
0.0625	0.03125	0.906148	0.1368	0.968683
0.0625	0.0625	0.916397	0.266902	0.968683
0.0625	0.125	0.910516	0.200799	0.968683
0.0625	0.25	0.935454	0.553461	0.968683
0.0625	0.5	0.9125	0.233393	0.968683
0.0625	1	0.912785	0.23302	0.968683
0.0625	2	0.909066	0.171871	0.968683
0.0625	4	0.911744	0.212698	0.968683
0.0625	8	0.949733	0.677519	0.968683
0.0625	16	0.968505	0.829971	0.968683
0.0625	32	0.970854	0.850675	0.970854
0.125	0.03125	0.90387	0.0795666	0.970854
0.125	0.0625	0.913665	0.250697	0.970854
0.125	0.125	0.925961	0.395661	0.970854
0.125	0.25	0.917544	0.276713	0.970854
0.125	0.5	0.917171	0.267808	0.970854
0.125	1	0.915916	0.249192	0.970854
0.125	2	0.915036	0.26768	0.970854
0.125	4	0.949858	0.674213	0.970854
0.125	8	0.970107	0.841808	0.970854
0.125	16	0.971886	0.856884	0.971886
0.125	32	0.969217	0.840259	0.971886
0.25	0.03125	0.908194	0.155834	0.971886
0.25	0.0625	0.905872	0.118184	0.971886
0.25	0.125	0.911984	0.195102	0.971886
0.25	0.25	0.902126	0.0453217	0.971886
0.25	0.5	0.905036	0.0972038	0.971886
0.25	1	0.907518	0.137648	0.971886
0.25	2	0.929359	0.459864	0.971886
0.25	4	0.966904	0.816742	0.971886
0.25	8	0.971708	0.855848	0.971886
0.25	16	0.970463	0.851786	0.971886
0.25	32	0.967616	0.836448	0.971886
0.5	0.03125	0.901299	0.0282035	0.971886
0.5	0.0625	0.914528	0.247731	0.971886
0.5	0.125	0.911557	0.203616	0.971886
0.5	0.25	0.900089	0.00600769	0.971886
0.5	0.5	0.899822	0	0.971886
0.5	1	0.921957	0.366166	0.971886
0.5	2	0.961922	0.778008	0.971886
0.5	4	0.969537	0.837541	0.971886
0.5	8	0.970285	0.849414	0.971886
0.5	16	0.970107	0.849732	0.971886
0.5	32	0.966548	0.831541	0.971886
1	0.03125	0.900632	0.0160243	0.971886
1	0.0625	0.901584	0.0338981	0.971886
1	0.125	0.901139	0.0305108	0.971886
1	0.25	0.899822	0	0.971886
1	0.5	0.909609	0.177994	0.971886
1	1	0.947865	0.662053	0.971886
1	2	0.965658	0.813166	0.971886
1	4	0.968915	0.83915	0.971886
1	8	0.967082	0.833483	0.971886
1	16	0.967616	0.83574	0.971886
1	32	0.964235	0.820054	0.971886
2	0.03125	0.899822	0.000707965	0.971886
2	0.0625	0.899822	0.00176991	0.971886
2	0.125	0.899822	0	0.971886
2	0.25	0.901112	0.0253991	0.971886
2	0.5	0.938612	0.572491	0.971886
2	1	0.960721	0.773758	0.971886
2	2	0.967972	0.830508	0.971886
2	4	0.969395	0.841035	0.971886
2	8	0.968149	0.837174	0.971886
2	16	0.96548	0.828014	0.971886
2	32	0.962633	0.812834	0.971886
4	0.03125	0.899822	0	0.971886
4	0.0625	0.899822	0	0.971886
4	0.125	0.899822	0	0.971886
4	0.25	0.914947	0.264615	0.971886
4	0.5	0.948897	0.673785	0.971886
4	1	0.963345	0.796844	0.971886
4	2	0.966335	0.822838	0.971886
4	4	0.969751	0.842301	0.971886
4	8	0.966726	0.829535	0.971886
4	16	0.963879	0.81495	0.971886
4	32	0.95879	0.79258	0.971886
8	0.03125	0.899822	0	0.971886
8	0.0625	0.899822	0.000884956	0.971886
8	0.125	0.902669	0.0585198	0.971886
8	0.25	0.931139	0.486	0.971886
8	0.5	0.95427	0.72572	0.971886
8	1	0.963835	0.803664	0.971886
8	2	0.96637	0.820513	0.971886
8	4	0.966726	0.827012	0.971886
8	8	0.962429	0.808412	0.971886
8	16	0.959253	0.794619	0.971886
8	32	0.958719	0.792487	0.971886
16	0.03125	0.899875	0.00459802	0.971886
16	0.0625	0.9	0.00706714	0.971886
16	0.125	0.90895	0.167419	0.971886
16	0.25	0.937989	0.569153	0.971886
16	0.5	0.95694	0.742553	0.971886
16	1	0.964413	0.800797	0.971886
16	2	0.96573	0.819696	0.971886
16	4	0.963879	0.814273	0.971886
16	8	0.960142	0.795247	0.971886
16	16	0.958541	0.789521	0.971886
16	32	0.95968	0.798047	0.971886
32	0.03125	0.899822	0	0.971886
32	0.0625	0.899822	0	0.971886
32	0.125	0.918505	0.320475	0.971886
32	0.25	0.948577	0.677815	0.971886
32	0.5	0.957313	0.756665	0.971886
32	1	0.962811	0.801142	0.971886
32	2	0.963345	0.811009	0.971886
32	4	0.960516	0.796091	0.971886
32	8	0.958719	0.792857	0.971886
32	16	0.955694	0.775068	0.971886
32	32	0.955338	0.775291	0.971886
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.967411	0.82798	0.967411
0.0625	0.96669	0.825049	0.967411
0.125	0.968639	0.838274	0.968639
0.25	0.970961	0.851333	0.970961
0.5	0.970712	0.848435	0.970961
1	0.96887	0.836659	0.970961
2	0.970436	0.844074	0.970961
4	0.972028	0.853976	0.972028
8	0.970747	0.848005	0.972028
16	0.969973	0.843392	0.972028
32	0.970374	0.848299	0.972028
/******************************************/

Best PAI_C: 	1
Best PAII_C:	0.5
Best AROW_r=0.125	 AROW_eta=16
Best AROWC_r=4
