/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.765501	0	0.765501
0.0625	0.765501	0	0.765501
0.125	0.766278	0.00791557	0.766278
0.25	0.770163	0.157265	0.770163
0.5	0.772339	0.377391	0.772339
1	0.764103	0.445985	0.772339
2	0.744522	0.448322	0.772339
4	0.738462	0.438063	0.772339
8	0.738462	0.438063	0.772339
16	0.738462	0.438063	0.772339
32	0.738462	0.438063	0.772339
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.774514	0.112538	0.774514
0.0625	0.784615	0.295015	0.784615
0.125	0.783636	0.401673	0.784615
0.25	0.774981	0.448591	0.784615
0.5	0.765501	0.464704	0.784615
1	0.753225	0.456537	0.784615
2	0.747319	0.446939	0.784615
4	0.745299	0.443841	0.784615
8	0.742657	0.440162	0.784615
16	0.742347	0.440998	0.784615
32	0.741725	0.440404	0.784615
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.7646	0.00393185	0.7646
0.03125	0.0625	0.764639	0.012605	0.764639
0.03125	0.125	0.765416	0	0.765416
0.03125	0.25	0.764895	0	0.765416
0.03125	0.5	0.772222	0.0708507	0.772222
0.03125	1	0.785734	0.20338	0.785734
0.03125	2	0.827685	0.459659	0.827685
0.03125	4	0.791127	0.241672	0.827685
0.03125	8	0.765501	0	0.827685
0.03125	16	0.768664	0.0433077	0.827685
0.03125	32	0.83251	0.482851	0.83251
0.0625	0.03125	0.773504	0.100478	0.83251
0.0625	0.0625	0.796939	0.26983	0.83251
0.0625	0.125	0.770847	0.0690753	0.83251
0.0625	0.25	0.779192	0.126833	0.83251
0.0625	0.5	0.78101	0.15059	0.83251
0.0625	1	0.765501	0	0.83251
0.0625	2	0.767848	0.0193188	0.83251
0.0625	4	0.793978	0.249604	0.83251
0.0625	8	0.771002	0.0632167	0.83251
0.0625	16	0.815385	0.381894	0.83251
0.0625	32	0.867599	0.65309	0.867599
0.125	0.03125	0.76439	0.00215969	0.867599
0.125	0.0625	0.765237	0.023677	0.867599
0.125	0.125	0.765657	0.032762	0.867599
0.125	0.25	0.824577	0.486487	0.867599
0.125	0.5	0.788469	0.173089	0.867599
0.125	1	0.764817	0.0141297	0.867599
0.125	2	0.765245	0.000726552	0.867599
0.125	4	0.765027	0.0185175	0.867599
0.125	8	0.78676	0.203971	0.867599
