/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.976629	0.988067	0.976629
0.0625	0.978327	0.988916	0.978327
0.125	0.980248	0.989885	0.980248
0.25	0.98172	0.990629	0.98172
0.5	0.982311	0.99092	0.982311
1	0.982176	0.990837	0.982311
2	0.979273	0.989324	0.982311
4	0.976653	0.987955	0.982311
8	0.976302	0.987769	0.982311
16	0.976302	0.987769	0.982311
32	0.975516	0.987365	0.982311
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.979948	0.989722	0.979948
0.0625	0.981359	0.990436	0.981359
0.125	0.982041	0.990779	0.982041
0.25	0.981665	0.990576	0.982041
0.5	0.981349	0.990403	0.982041
1	0.979762	0.989577	0.982041
2	0.978817	0.989087	0.982041
4	0.978057	0.98869	0.982041
8	0.977074	0.988177	0.982041
16	0.976673	0.987966	0.982041
32	0.976157	0.987699	0.982041
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.970482	0.984805	0.970482
0.03125	0.0625	0.970641	0.984891	0.970641
0.03125	0.125	0.9706	0.984876	0.970641
0.03125	0.25	0.970943	0.985047	0.970943
0.03125	0.5	0.970271	0.984708	0.970943
0.03125	1	0.970894	0.98503	0.970943
0.03125	2	0.971403	0.985287	0.971403
0.03125	4	0.973148	0.986196	0.973148
0.03125	8	0.977964	0.988694	0.977964
0.03125	16	0.982127	0.990838	0.982127
0.03125	32	0.984113	0.991845	0.984113
0.0625	0.03125	0.972943	0.986098	0.984113
0.0625	0.0625	0.972684	0.985977	0.984113
0.0625	0.125	0.973326	0.986301	0.984113
0.0625	0.25	0.973018	0.986139	0.984113
0.0625	0.5	0.972944	0.986103	0.984113
0.0625	1	0.973524	0.9864	0.984113
0.0625	2	0.974126	0.986725	0.984113
0.0625	4	0.978623	0.989043	0.984113
0.0625	8	0.982345	0.99095	0.984113
0.0625	16	0.984173	0.991877	0.984173
0.0625	32	0.984746	0.992161	0.984746
0.125	0.03125	0.975519	0.987446	0.984746
0.125	0.0625	0.975043	0.987197	0.984746
0.125	0.125	0.975354	0.98736	0.984746
0.125	0.25	0.974973	0.987162	0.984746
0.125	0.5	0.975288	0.987329	0.984746
0.125	1	0.975649	0.987518	0.984746
0.125	2	0.97923	0.989363	0.984746
0.125	4	0.982117	0.99084	0.984746
0.125	8	0.984153	0.991869	0.984746
0.125	16	0.984907	0.992247	0.984907
0.125	32	0.984573	0.992067	0.984907
0.25	0.03125	0.976777	0.988108	0.984907
0.25	0.0625	0.976485	0.987953	0.984907
0.25	0.125	0.9772	0.988321	0.984907
0.25	0.25	0.976452	0.987941	0.984907
0.25	0.5	0.977217	0.988336	0.984907
0.25	1	0.979532	0.989526	0.984907
0.25	2	0.98215	0.990858	0.984907
0.25	4	0.98399	0.991789	0.984907
0.25	8	0.984785	0.992187	0.984907
0.25	16	0.984636	0.992101	0.984907
0.25	32	0.983685	0.991605	0.984907
0.5	0.03125	0.977449	0.988463	0.984907
0.5	0.0625	0.977356	0.988416	0.984907
0.5	0.125	0.977036	0.988252	0.984907
0.5	0.25	0.977699	0.988595	0.984907
0.5	0.5	0.979237	0.989384	0.984907
0.5	1	0.981572	0.990568	0.984907
0.5	2	0.983504	0.991544	0.984907
0.5	4	0.98478	0.992187	0.984907
0.5	8	0.984673	0.992124	0.984907
0.5	16	0.98387	0.991703	0.984907
0.5	32	0.982394	0.990934	0.984907
1	0.03125	0.977236	0.988367	0.984907
1	0.0625	0.977124	0.988309	0.984907
1	0.125	0.977239	0.988372	0.984907
1	0.25	0.978698	0.989118	0.984907
1	0.5	0.980829	0.990196	0.984907
1	1	0.982738	0.991156	0.984907
1	2	0.984205	0.991895	0.984907
1	4	0.984621	0.992099	0.984907
1	8	0.983933	0.991738	0.984907
1	16	0.982527	0.991005	0.984907
1	32	0.980787	0.9901	0.984907
2	0.03125	0.97705	0.988281	0.984907
2	0.0625	0.976651	0.988082	0.984907
2	0.125	0.977741	0.988639	0.984907
2	0.25	0.97985	0.989703	0.984907
2	0.5	0.981852	0.990709	0.984907
2	1	0.983405	0.99149	0.984907
2	2	0.984462	0.992023	0.984907
2	4	0.984022	0.991788	0.984907
2	8	0.982766	0.991132	0.984907
2	16	0.980887	0.990153	0.984907
2	32	0.979211	0.98928	0.984907
4	0.03125	0.976049	0.987781	0.984907
4	0.0625	0.976566	0.988048	0.984907
4	0.125	0.97865	0.989098	0.984907
4	0.25	0.980593	0.990074	0.984907
4	0.5	0.98235	0.990955	0.984907
4	1	0.983761	0.991667	0.984907
4	2	0.984139	0.991852	0.984907
4	4	0.983334	0.99143	0.984907
4	8	0.981428	0.990437	0.984907
